"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - ci_val","hopfield_testset - ci_val__MIN","hopfield_testset - ci_val__MAX"
"0","0","0","0","0.761101527737994","0.761101527737994","0.761101527737994"
"1","2","2","2","0.7916956475515485","0.7916956475515485","0.7916956475515485"
"2","4","4","4","0.7986275931474034","0.7986275931474034","0.7986275931474034"
"3","6","6","6","0.8084972401554048","0.8084972401554048","0.8084972401554048"
"4","8","8","8","0.8128008299217516","0.8128008299217516","0.8128008299217516"
"5","10","10","10","0.820032771144684","0.820032771144684","0.820032771144684"
"6","12","12","12","0.8212365797525916","0.8212365797525916","0.8212365797525916"
"7","14","14","14","0.8219492627206602","0.8219492627206602","0.8219492627206602"
"8","16","16","16","0.8231947943628692","0.8231947943628692","0.8231947943628692"
"9","18","18","18","0.8213395518448531","0.8213395518448531","0.8213395518448531"
"10","20","20","20","0.8282982487339152","0.8282982487339152","0.8282982487339152"
"11","22","22","22","0.82377461618092","0.82377461618092","0.82377461618092"
"12","24","24","24","0.8378607577259254","0.8378607577259254","0.8378607577259254"
"13","26","26","26","0.8312940217501962","0.8312940217501962","0.8312940217501962"
"14","28","28","28","0.8381156312308258","0.8381156312308258","0.8381156312308258"
"15","30","30","30","0.8426763143984269","0.8426763143984269","0.8426763143984269"
"16","32","32","32","0.8419394960671043","0.8419394960671043","0.8419394960671043"
"17","34","34","34","0.840592710674082","0.840592710674082","0.840592710674082"
"18","36","36","36","0.8465722292402652","0.8465722292402652","0.8465722292402652"
"19","38","38","38","0.8391901062197024","0.8391901062197024","0.8391901062197024"
"20","40","40","40","0.8506478772898335","0.8506478772898335","0.8506478772898335"
"21","42","42","42","0.8484092726556075","0.8484092726556075","0.8484092726556075"
"22","44","44","44","0.8494637941575656","0.8494637941575656","0.8494637941575656"
"23","46","46","46","0.8485733968212141","0.8485733968212141","0.8485733968212141"
"24","48","48","48","0.8539541221226917","0.8539541221226917","0.8539541221226917"
"25","50","50","50","0.8512902108164634","0.8512902108164634","0.8512902108164634"
"26","52","52","52","0.8550847856489756","0.8550847856489756","0.8550847856489756"
"27","54","54","54","0.8608680157399127","0.8608680157399127","0.8608680157399127"
"28","56","56","56","0.8581433986425211","0.8581433986425211","0.8581433986425211"
"29","58","58","58","0.8539437482176864","0.8539437482176864","0.8539437482176864"
"30","60","60","60","0.8572344316610169","0.8572344316610169","0.8572344316610169"
"31","62","62","62","0.8586408119662643","0.8586408119662643","0.8586408119662643"
"32","64","64","64","0.8585607513298911","0.8585607513298911","0.8585607513298911"
"33","66","66","66","0.8613087988820527","0.8613087988820527","0.8613087988820527"
"34","68","68","68","0.8612202924074149","0.8612202924074149","0.8612202924074149"
"35","70","70","70","0.8664839012065606","0.8664839012065606","0.8664839012065606"
"36","72","72","72","0.861230374463137","0.861230374463137","0.861230374463137"
"37","74","74","74","0.8651702882740296","0.8651702882740296","0.8651702882740296"
"38","76","76","76","0.8585315418879274","0.8585315418879274","0.8585315418879274"
"39","78","78","78","0.863076597508853","0.863076597508853","0.863076597508853"
"40","80","80","80","0.8614654275190233","0.8614654275190233","0.8614654275190233"
"41","82","82","82","0.8638447804292845","0.8638447804292845","0.8638447804292845"
"42","84","84","84","0.8621904605959693","0.8621904605959693","0.8621904605959693"
"43","86","86","86","0.8706430525890404","0.8706430525890404","0.8706430525890404"
"44","88","88","88","0.8659365471206825","0.8659365471206825","0.8659365471206825"
"45","90","90","90","0.8680291658110127","0.8680291658110127","0.8680291658110127"
"46","92","92","92","0.864204349871886","0.864204349871886","0.864204349871886"
"47","94","94","94","0.865264678361015","0.865264678361015","0.865264678361015"
"48","96","96","96","0.8655734866065624","0.8655734866065624","0.8655734866065624"
"49","98","98","98","0.8617129350768468","0.8617129350768468","0.8617129350768468"
"50","100","100","100","0.8690009228953672","0.8690009228953672","0.8690009228953672"
"51","102","102","102","0.8598980347103193","0.8598980347103193","0.8598980347103193"
"52","104","104","104","0.8629125298015278","0.8629125298015278","0.8629125298015278"
"53","106","106","106","0.8698389603308676","0.8698389603308676","0.8698389603308676"
"54","108","108","108","0.8663046496450008","0.8663046496450008","0.8663046496450008"
"55","110","110","110","0.8648977000647556","0.8648977000647556","0.8648977000647556"
"56","112","112","112","0.8657521364461515","0.8657521364461515","0.8657521364461515"
"57","114","114","114","0.8704701265958037","0.8704701265958037","0.8704701265958037"
"58","116","116","116","0.8656187080461221","0.8656187080461221","0.8656187080461221"
"59","118","118","118","0.8720420383401492","0.8720420383401492","0.8720420383401492"
"60","120","120","120","0.8698829382257258","0.8698829382257258","0.8698829382257258"
"61","122","122","122","0.8708613950119417","0.8708613950119417","0.8708613950119417"
"62","124","124","124","0.8662253577093196","0.8662253577093196","0.8662253577093196"
"63","126","126","126","0.865669739965375","0.865669739965375","0.865669739965375"
"64","128","128","128","0.8715799348721301","0.8715799348721301","0.8715799348721301"
"65","130","130","130","0.8737961162997635","0.8737961162997635","0.8737961162997635"
"66","132","132","132","0.8726072420019538","0.8726072420019538","0.8726072420019538"
"67","134","134","134","0.8693511670818465","0.8693511670818465","0.8693511670818465"
"68","136","136","136","0.8694007226081367","0.8694007226081367","0.8694007226081367"
"69","138","138","138","0.8723028504680048","0.8723028504680048","0.8723028504680048"
"70","140","140","140","0.872870605819147","0.872870605819147","0.872870605819147"
"71","142","142","142","0.8744186617787467","0.8744186617787467","0.8744186617787467"
"72","144","144","144","0.873012135083632","0.873012135083632","0.873012135083632"
"73","146","146","146","0.8739374045118091","0.8739374045118091","0.8739374045118091"
"74","148","148","148","0.8713694781275757","0.8713694781275757","0.8713694781275757"
"75","150","150","150","0.8684916823011761","0.8684916823011761","0.8684916823011761"
"76","152","152","152","0.8732425758242048","0.8732425758242048","0.8732425758242048"
"77","154","154","154","0.8715633202540061","0.8715633202540061","0.8715633202540061"
"78","156","156","156","0.8739735766382359","0.8739735766382359","0.8739735766382359"
"79","158","158","158","0.8696347836607858","0.8696347836607858","0.8696347836607858"
"80","160","160","160","0.87296818314681","0.87296818314681","0.87296818314681"
"81","162","162","162","0.8739773928483942","0.8739773928483942","0.8739773928483942"
"82","164","164","164","0.8684163332829441","0.8684163332829441","0.8684163332829441"
"83","166","166","166","0.8747894513464678","0.8747894513464678","0.8747894513464678"
"84","168","168","168","0.872182910597819","0.872182910597819","0.872182910597819"
"85","170","170","170","0.8743084557686353","0.8743084557686353","0.8743084557686353"
"86","172","172","172","0.8708679481286342","0.8708679481286342","0.8708679481286342"
"87","174","174","174","0.8734909438233336","0.8734909438233336","0.8734909438233336"
"88","176","176","176","0.8741861543054155","0.8741861543054155","0.8741861543054155"
"89","178","178","178","0.8747931170414844","0.8747931170414844","0.8747931170414844"
"90","180","180","180","0.876617941005174","0.876617941005174","0.876617941005174"
"91","182","182","182","0.8776154704640069","0.8776154704640069","0.8776154704640069"
"92","184","184","184","0.8757316112484226","0.8757316112484226","0.8757316112484226"
"93","186","186","186","0.8747460480340102","0.8747460480340102","0.8747460480340102"
"94","188","188","188","0.875113053858459","0.875113053858459","0.875113053858459"
"95","190","190","190","0.8738438782929443","0.8738438782929443","0.8738438782929443"
"96","192","192","192","0.8770477492871419","0.8770477492871419","0.8770477492871419"
"97","194","194","194","0.878036178393273","0.878036178393273","0.878036178393273"
"98","196","196","196","0.8772478950007431","0.8772478950007431","0.8772478950007431"
"99","198","198","198","0.8781182010503993","0.8781182010503993","0.8781182010503993"
"100","200","200","200","0.8768244199836445","0.8768244199836445","0.8768244199836445"
"101","202","202","202","0.8784261592707875","0.8784261592707875","0.8784261592707875"
"102","204","204","204","0.8775130509115715","0.8775130509115715","0.8775130509115715"
"103","206","206","206","0.8814860412086925","0.8814860412086925","0.8814860412086925"
"104","208","208","208","0.8757547791209598","0.8757547791209598","0.8757547791209598"
"105","210","210","210","0.8781055160356281","0.8781055160356281","0.8781055160356281"
"106","212","212","212","0.8774543830390759","0.8774543830390759","0.8774543830390759"
"107","214","214","214","0.8737210240779058","0.8737210240779058","0.8737210240779058"
"108","216","216","216","0.8765541020319255","0.8765541020319255","0.8765541020319255"
"109","218","218","218","0.875526657677932","0.875526657677932","0.875526657677932"
"110","220","220","220","0.8763007219791507","0.8763007219791507","0.8763007219791507"
"111","222","222","222","0.8766564531844534","0.8766564531844534","0.8766564531844534"
"112","224","224","224","0.8753576131440536","0.8753576131440536","0.8753576131440536"
"113","226","226","226","0.8776265638148332","0.8776265638148332","0.8776265638148332"
"114","228","228","228","0.8744923361203956","0.8744923361203956","0.8744923361203956"
"115","230","230","230","0.8757812611561369","0.8757812611561369","0.8757812611561369"
"116","232","232","232","0.8746368831493653","0.8746368831493653","0.8746368831493653"
"117","234","234","234","0.8754777006452842","0.8754777006452842","0.8754777006452842"
"118","236","236","236","0.8785841560742094","0.8785841560742094","0.8785841560742094"
"119","238","238","238","0.875779165487542","0.875779165487542","0.875779165487542"
"120","240","240","240","0.8773939700538816","0.8773939700538816","0.8773939700538816"
"121","242","242","242","0.8774656175706647","0.8774656175706647","0.8774656175706647"
"122","244","244","244","0.8772139666235618","0.8772139666235618","0.8772139666235618"
"123","246","246","246","0.8752497661335067","0.8752497661335067","0.8752497661335067"
"124","248","248","248","0.8722915981586334","0.8722915981586334","0.8722915981586334"
"125","250","250","250","0.87342932538225","0.87342932538225","0.87342932538225"
"126","252","252","252","0.8741503317305254","0.8741503317305254","0.8741503317305254"
"127","254","254","254","0.8781879837164541","0.8781879837164541","0.8781879837164541"
"128","256","256","256","0.8716857054393602","0.8716857054393602","0.8716857054393602"
"129","258","258","258","0.873979741013068","0.873979741013068","0.873979741013068"
"130","260","260","260","0.8798262954379634","0.8798262954379634","0.8798262954379634"
"131","262","262","262","0.8730261772778286","0.8730261772778286","0.8730261772778286"
"132","264","264","264","0.8780938470974855","0.8780938470974855","0.8780938470974855"
"133","266","266","266","0.8739436806828772","0.8739436806828772","0.8739436806828772"
"134","268","268","268","0.8711972935306166","0.8711972935306166","0.8711972935306166"
"135","270","270","270","0.8727319049327767","0.8727319049327767","0.8727319049327767"
"136","272","272","272","0.8782649074847416","0.8782649074847416","0.8782649074847416"
"137","274","274","274","0.8770597549401484","0.8770597549401484","0.8770597549401484"
"138","276","276","276","0.8779244646941801","0.8779244646941801","0.8779244646941801"
"139","278","278","278","0.8792293409337808","0.8792293409337808","0.8792293409337808"
"140","280","280","280","0.8787949875622227","0.8787949875622227","0.8787949875622227"
"141","282","282","282","0.878094263062228","0.878094263062228","0.878094263062228"
"142","284","284","284","0.8774380003575232","0.8774380003575232","0.8774380003575232"
"143","286","286","286","0.8755395825913002","0.8755395825913002","0.8755395825913002"
"144","288","288","288","0.8770860908244921","0.8770860908244921","0.8770860908244921"
"145","290","290","290","0.8763059146692312","0.8763059146692312","0.8763059146692312"
"146","292","292","292","0.8769843749671329","0.8769843749671329","0.8769843749671329"
"147","294","294","294","0.8746351499444996","0.8746351499444996","0.8746351499444996"
"148","296","296","296","0.8731523200683066","0.8731523200683066","0.8731523200683066"
"149","298","298","298","0.8769231811130896","0.8769231811130896","0.8769231811130896"
"150","300","300","300","0.8737183675492644","0.8737183675492644","0.8737183675492644"
"151","302","302","302","0.8761078527812971","0.8761078527812971","0.8761078527812971"
"152","304","304","304","0.8748203197973946","0.8748203197973946","0.8748203197973946"
"153","306","306","306","0.8787529720938841","0.8787529720938841","0.8787529720938841"
"154","308","308","308","0.8809845840765921","0.8809845840765921","0.8809845840765921"
"155","310","310","310","0.878406452785166","0.878406452785166","0.878406452785166"
"156","312","312","312","0.8776556212085097","0.8776556212085097","0.8776556212085097"
"157","314","314","314","0.8728971314842117","0.8728971314842117","0.8728971314842117"
"158","316","316","316","0.8774746821371827","0.8774746821371827","0.8774746821371827"
"159","318","318","318","0.8819954368311436","0.8819954368311436","0.8819954368311436"
"160","320","320","320","0.8757349144528256","0.8757349144528256","0.8757349144528256"
"161","322","322","322","0.8724259448412386","0.8724259448412386","0.8724259448412386"
"162","324","324","324","0.8691691908230289","0.8691691908230289","0.8691691908230289"
"163","326","326","326","0.8710516029633731","0.8710516029633731","0.8710516029633731"
"164","328","328","328","0.8708540917509277","0.8708540917509277","0.8708540917509277"
"165","330","330","330","0.8690045888201414","0.8690045888201414","0.8690045888201414"
"166","332","332","332","0.8704290570826219","0.8704290570826219","0.8704290570826219"
"167","334","334","334","0.8766561015229553","0.8766561015229553","0.8766561015229553"
"168","336","336","336","0.8677623218380861","0.8677623218380861","0.8677623218380861"
"169","338","338","338","0.8767717223288828","0.8767717223288828","0.8767717223288828"
"170","340","340","340","0.8797092231462281","0.8797092231462281","0.8797092231462281"
"171","342","342","342","0.8728876404177994","0.8728876404177994","0.8728876404177994"
"172","344","344","344","0.8735111450743794","0.8735111450743794","0.8735111450743794"
"173","346","346","346","0.8762460104881823","0.8762460104881823","0.8762460104881823"
"174","348","348","348","0.8759344953815378","0.8759344953815378","0.8759344953815378"
"175","350","350","350","0.876527587976549","0.876527587976549","0.876527587976549"
"176","352","352","352","0.8693935956075646","0.8693935956075646","0.8693935956075646"
"177","354","354","354","0.873591069872326","0.873591069872326","0.873591069872326"
"178","356","356","356","0.8748931936851123","0.8748931936851123","0.8748931936851123"
"179","358","358","358","0.8744792992038614","0.8744792992038614","0.8744792992038614"
"180","360","360","360","0.8805499745221667","0.8805499745221667","0.8805499745221667"
"181","362","362","362","0.8804857053331383","0.8804857053331383","0.8804857053331383"
"182","364","364","364","0.8744528821964541","0.8744528821964541","0.8744528821964541"
"183","366","366","366","0.8780409863212357","0.8780409863212357","0.8780409863212357"
"184","368","368","368","0.8726463153696353","0.8726463153696353","0.8726463153696353"
"185","370","370","370","0.8751967309945082","0.8751967309945082","0.8751967309945082"
"186","372","372","372","0.8767814757726887","0.8767814757726887","0.8767814757726887"
"187","374","374","374","0.878808043927928","0.878808043927928","0.878808043927928"
"188","376","376","376","0.8687936222117152","0.8687936222117152","0.8687936222117152"
"189","378","378","378","0.872183308401515","0.872183308401515","0.872183308401515"
"190","380","380","380","0.8731095358977717","0.8731095358977717","0.8731095358977717"
"191","382","382","382","0.8728956688878583","0.8728956688878583","0.8728956688878583"
"192","384","384","384","0.876947099160438","0.876947099160438","0.876947099160438"
"193","386","386","386","0.8714441587035422","0.8714441587035422","0.8714441587035422"
"194","388","388","388","0.8774632102085484","0.8774632102085484","0.8774632102085484"
"195","390","390","390","0.8767851733276414","0.8767851733276414","0.8767851733276414"
"196","392","392","392","0.8775405810081738","0.8775405810081738","0.8775405810081738"
"197","394","394","394","0.8769495175743848","0.8769495175743848","0.8769495175743848"
"198","396","396","396","0.8756206898743059","0.8756206898743059","0.8756206898743059"
"199","398","398","398","0.8781729540921138","0.8781729540921138","0.8781729540921138"
"200","400","400","400","0.881198461172706","0.881198461172706","0.881198461172706"
"201","402","402","402","0.8808249425551588","0.8808249425551588","0.8808249425551588"
"202","404","404","404","0.8792879931176216","0.8792879931176216","0.8792879931176216"
"203","406","406","406","0.8791437196807694","0.8791437196807694","0.8791437196807694"
"204","408","408","408","0.8751877892859808","0.8751877892859808","0.8751877892859808"
"205","410","410","410","0.8787914931307091","0.8787914931307091","0.8787914931307091"
"206","412","412","412","0.8774397186809269","0.8774397186809269","0.8774397186809269"
"207","414","414","414","0.8790148684900453","0.8790148684900453","0.8790148684900453"
