"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"0","0","0","0","0.33878615697461284","0.33878615697461284","0.33878615697461284"
"1","2","2","2","0.28959500632236784","0.28959500632236784","0.28959500632236784"
"2","4","4","4","0.27579428803391337","0.27579428803391337","0.27579428803391337"
"3","6","6","6","0.2542360629732496","0.2542360629732496","0.2542360629732496"
"4","8","8","8","0.2443878610285995","0.2443878610285995","0.2443878610285995"
"5","10","10","10","0.23945896064637012","0.23945896064637012","0.23945896064637012"
"6","12","12","12","0.2229777448414778","0.2229777448414778","0.2229777448414778"
"7","14","14","14","0.21663825305474035","0.21663825305474035","0.21663825305474035"
"8","16","16","16","0.209883570647146","0.209883570647146","0.209883570647146"
"9","18","18","18","0.20204861151718206","0.20204861151718206","0.20204861151718206"
"10","20","20","20","0.19227264161101437","0.19227264161101437","0.19227264161101437"
"11","22","22","22","0.18634375447593732","0.18634375447593732","0.18634375447593732"
"12","24","24","24","0.18575998637630683","0.18575998637630683","0.18575998637630683"
"13","26","26","26","0.18048211501660064","0.18048211501660064","0.18048211501660064"
"14","28","28","28","0.17209341402393719","0.17209341402393719","0.17209341402393719"
"15","30","30","30","0.17606626411514276","0.17606626411514276","0.17606626411514276"
"16","32","32","32","0.1732111063477151","0.1732111063477151","0.1732111063477151"
"17","34","34","34","0.17556496272172234","0.17556496272172234","0.17556496272172234"
"18","36","36","36","0.16228769460053774","0.16228769460053774","0.16228769460053774"
"19","38","38","38","0.1596103990415803","0.1596103990415803","0.1596103990415803"
"20","40","40","40","0.1620515293180049","0.1620515293180049","0.1620515293180049"
"21","42","42","42","0.1582349456556446","0.1582349456556446","0.1582349456556446"
"22","44","44","44","0.15736405613673257","0.15736405613673257","0.15736405613673257"
"23","46","46","46","0.16438609983808156","0.16438609983808156","0.16438609983808156"
"24","48","48","48","0.15522094698955394","0.15522094698955394","0.15522094698955394"
"25","50","50","50","0.1536361773102409","0.1536361773102409","0.1536361773102409"
"26","52","52","52","0.15273351814135908","0.15273351814135908","0.15273351814135908"
"27","54","54","54","0.1508871040816193","0.1508871040816193","0.1508871040816193"
"28","56","56","56","0.1498812309047564","0.1498812309047564","0.1498812309047564"
"29","58","58","58","0.14838008809508332","0.14838008809508332","0.14838008809508332"
"30","60","60","60","0.14848395750611987","0.14848395750611987","0.14848395750611987"
"31","62","62","62","0.14655421039861324","0.14655421039861324","0.14655421039861324"
"32","64","64","64","0.14735099764560525","0.14735099764560525","0.14735099764560525"
"33","66","66","66","0.14658833568605167","0.14658833568605167","0.14658833568605167"
"34","68","68","68","0.1439456437565787","0.1439456437565787","0.1439456437565787"
"35","70","70","70","0.1466899148904918","0.1466899148904918","0.1466899148904918"
"36","72","72","72","0.14545222189324328","0.14545222189324328","0.14545222189324328"
"37","74","74","74","0.14598016101978453","0.14598016101978453","0.14598016101978453"
"38","76","76","76","0.1457171168351857","0.1457171168351857","0.1457171168351857"
"39","78","78","78","0.14358580571139307","0.14358580571139307","0.14358580571139307"
"40","80","80","80","0.13989879613874023","0.13989879613874023","0.13989879613874023"
"41","82","82","82","0.14466665315666885","0.14466665315666885","0.14466665315666885"
"42","84","84","84","0.1407171695925617","0.1407171695925617","0.1407171695925617"
"43","86","86","86","0.13925951447196233","0.13925951447196233","0.13925951447196233"
"44","88","88","88","0.1383405170224835","0.1383405170224835","0.1383405170224835"
"45","90","90","90","0.13801881091663748","0.13801881091663748","0.13801881091663748"
"46","92","92","92","0.13757549040487108","0.13757549040487108","0.13757549040487108"
"47","94","94","94","0.1401919108372195","0.1401919108372195","0.1401919108372195"
"48","96","96","96","0.1359050275949729","0.1359050275949729","0.1359050275949729"
"49","98","98","98","0.13524590398473235","0.13524590398473235","0.13524590398473235"
"50","100","100","100","0.13780627850346017","0.13780627850346017","0.13780627850346017"
"51","102","102","102","0.13612312885473393","0.13612312885473393","0.13612312885473393"
"52","104","104","104","0.13910249177544456","0.13910249177544456","0.13910249177544456"
"53","106","106","106","0.13556967129119085","0.13556967129119085","0.13556967129119085"
"54","108","108","108","0.13436533633858053","0.13436533633858053","0.13436533633858053"
"55","110","110","110","0.1360688007017142","0.1360688007017142","0.1360688007017142"
"56","112","112","112","0.13731526866996846","0.13731526866996846","0.13731526866996846"
"57","114","114","114","0.1337347824022152","0.1337347824022152","0.1337347824022152"
"58","116","116","116","0.13516205865164738","0.13516205865164738","0.13516205865164738"
"59","118","118","118","0.13481506374238791","0.13481506374238791","0.13481506374238791"
"60","120","120","120","0.13345135776247125","0.13345135776247125","0.13345135776247125"
"61","122","122","122","0.13613940676395217","0.13613940676395217","0.13613940676395217"
"62","124","124","124","0.13186296318943144","0.13186296318943144","0.13186296318943144"
"63","126","126","126","0.13504290425973964","0.13504290425973964","0.13504290425973964"
"64","128","128","128","0.13583940799728522","0.13583940799728522","0.13583940799728522"
"65","130","130","130","0.13377549695459257","0.13377549695459257","0.13377549695459257"
"66","132","132","132","0.13211358783432336","0.13211358783432336","0.13211358783432336"
"67","134","134","134","0.1310025507999807","0.1310025507999807","0.1310025507999807"
"68","136","136","136","0.13637115398058103","0.13637115398058103","0.13637115398058103"
"69","138","138","138","0.13226865516347663","0.13226865516347663","0.13226865516347663"
"70","140","140","140","0.13316103623708522","0.13316103623708522","0.13316103623708522"
"71","142","142","142","0.1342451043933435","0.1342451043933435","0.1342451043933435"
"72","144","144","144","0.13288384824830174","0.13288384824830174","0.13288384824830174"
"73","146","146","146","0.13126464552082073","0.13126464552082073","0.13126464552082073"
"74","148","148","148","0.13065994991985955","0.13065994991985955","0.13065994991985955"
"75","150","150","150","0.13533232922516442","0.13533232922516442","0.13533232922516442"
"76","152","152","152","0.1301108371146232","0.1301108371146232","0.1301108371146232"
"77","154","154","154","0.13274081755425884","0.13274081755425884","0.13274081755425884"
"78","156","156","156","0.13122343479618334","0.13122343479618334","0.13122343479618334"
"79","158","158","158","0.13061992333874814","0.13061992333874814","0.13061992333874814"
"80","160","160","160","0.13309589783630107","0.13309589783630107","0.13309589783630107"
"81","162","162","162","0.13069340771219887","0.13069340771219887","0.13069340771219887"
