"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - ci_val","hopfield_testset - ci_val__MIN","hopfield_testset - ci_val__MAX"
"0","0","0","0","0.7638940950008714","0.7638940950008714","0.7638940950008714"
"1","2","2","2","0.789323235175877","0.789323235175877","0.789323235175877"
"2","4","4","4","0.8017118908794242","0.8017118908794242","0.8017118908794242"
"3","6","6","6","0.8100640860106915","0.8100640860106915","0.8100640860106915"
"4","8","8","8","0.8101489954299551","0.8101489954299551","0.8101489954299551"
"5","10","10","10","0.8114149755409573","0.8114149755409573","0.8114149755409573"
"6","12","12","12","0.8190922879178779","0.8190922879178779","0.8190922879178779"
"7","14","14","14","0.821086891017756","0.821086891017756","0.821086891017756"
"8","16","16","16","0.8162147582677403","0.8162147582677403","0.8162147582677403"
"9","18","18","18","0.8207754402590317","0.8207754402590317","0.8207754402590317"
"10","20","20","20","0.8312222544538036","0.8312222544538036","0.8312222544538036"
"11","22","22","22","0.8286249660903433","0.8286249660903433","0.8286249660903433"
"12","24","24","24","0.8352061974074032","0.8352061974074032","0.8352061974074032"
"13","26","26","26","0.8311893476922598","0.8311893476922598","0.8311893476922598"
"14","28","28","28","0.8383406286672597","0.8383406286672597","0.8383406286672597"
"15","30","30","30","0.833940686484594","0.833940686484594","0.833940686484594"
"16","32","32","32","0.8449986057793073","0.8449986057793073","0.8449986057793073"
"17","34","34","34","0.8375079239377167","0.8375079239377167","0.8375079239377167"
"18","36","36","36","0.839974951531196","0.839974951531196","0.839974951531196"
"19","38","38","38","0.8385850205670651","0.8385850205670651","0.8385850205670651"
"20","40","40","40","0.841911493697557","0.841911493697557","0.841911493697557"
"21","42","42","42","0.8448832061749626","0.8448832061749626","0.8448832061749626"
"22","44","44","44","0.8506004591550077","0.8506004591550077","0.8506004591550077"
"23","46","46","46","0.8477618978190948","0.8477618978190948","0.8477618978190948"
"24","48","48","48","0.8513389681062989","0.8513389681062989","0.8513389681062989"
"25","50","50","50","0.8503684066056129","0.8503684066056129","0.8503684066056129"
"26","52","52","52","0.8484029894737336","0.8484029894737336","0.8484029894737336"
"27","54","54","54","0.8516148389393596","0.8516148389393596","0.8516148389393596"
"28","56","56","56","0.8554715809735831","0.8554715809735831","0.8554715809735831"
"29","58","58","58","0.8510729571472373","0.8510729571472373","0.8510729571472373"
