"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - ci_val","hopfield_testset - ci_val__MIN","hopfield_testset - ci_val__MAX"
"0","0","0","0","0.756850562694862","0.756850562694862","0.756850562694862"
"1","2","2","2","0.7789975154579735","0.7789975154579735","0.7789975154579735"
"2","4","4","4","0.799524985693477","0.799524985693477","0.799524985693477"
"3","6","6","6","0.8094168540858483","0.8094168540858483","0.8094168540858483"
"4","8","8","8","0.8149129908390784","0.8149129908390784","0.8149129908390784"
"5","10","10","10","0.8118633760124516","0.8118633760124516","0.8118633760124516"
"6","12","12","12","0.8178185016688672","0.8178185016688672","0.8178185016688672"
"7","14","14","14","0.8211073040860097","0.8211073040860097","0.8211073040860097"
"8","16","16","16","0.8241186252673081","0.8241186252673081","0.8241186252673081"
"9","18","18","18","0.8259654102863315","0.8259654102863315","0.8259654102863315"
"10","20","20","20","0.8343904030428747","0.8343904030428747","0.8343904030428747"
"11","22","22","22","0.8320757786403224","0.8320757786403224","0.8320757786403224"
"12","24","24","24","0.8353557591882865","0.8353557591882865","0.8353557591882865"
"13","26","26","26","0.8389998109002312","0.8389998109002312","0.8389998109002312"
"14","28","28","28","0.8415519934315286","0.8415519934315286","0.8415519934315286"
"15","30","30","30","0.8369502581215936","0.8369502581215936","0.8369502581215936"
"16","32","32","32","0.8437120846193845","0.8437120846193845","0.8437120846193845"
"17","34","34","34","0.8476779028892125","0.8476779028892125","0.8476779028892125"
"18","36","36","36","0.8502647458341471","0.8502647458341471","0.8502647458341471"
"19","38","38","38","0.8506744080851766","0.8506744080851766","0.8506744080851766"
"20","40","40","40","0.8519016079736325","0.8519016079736325","0.8519016079736325"
"21","42","42","42","0.8530288091667906","0.8530288091667906","0.8530288091667906"
"22","44","44","44","0.8511376896873292","0.8511376896873292","0.8511376896873292"
"23","46","46","46","0.8548506311655587","0.8548506311655587","0.8548506311655587"
"24","48","48","48","0.8540389683741677","0.8540389683741677","0.8540389683741677"
"25","50","50","50","0.8545104860071595","0.8545104860071595","0.8545104860071595"
"26","52","52","52","0.8602348635243372","0.8602348635243372","0.8602348635243372"
"27","54","54","54","0.8580452355363899","0.8580452355363899","0.8580452355363899"
"28","56","56","56","0.859645074666928","0.859645074666928","0.859645074666928"
"29","58","58","58","0.8596703545571064","0.8596703545571064","0.8596703545571064"
"30","60","60","60","0.8602706428088345","0.8602706428088345","0.8602706428088345"
"31","62","62","62","0.8585902589047034","0.8585902589047034","0.8585902589047034"
"32","64","64","64","0.856966822337542","0.856966822337542","0.856966822337542"
"33","66","66","66","0.857820500798898","0.857820500798898","0.857820500798898"
"34","68","68","68","0.8578659886657315","0.8578659886657315","0.8578659886657315"
"35","70","70","70","0.8599291111124914","0.8599291111124914","0.8599291111124914"
"36","72","72","72","0.8615761377783865","0.8615761377783865","0.8615761377783865"
"37","74","74","74","0.8620334703135722","0.8620334703135722","0.8620334703135722"
"38","76","76","76","0.8607301819724057","0.8607301819724057","0.8607301819724057"
"39","78","78","78","0.8632123534826864","0.8632123534826864","0.8632123534826864"
"40","80","80","80","0.8673061456862823","0.8673061456862823","0.8673061456862823"
"41","82","82","82","0.8635068599812166","0.8635068599812166","0.8635068599812166"
"42","84","84","84","0.8632713001806832","0.8632713001806832","0.8632713001806832"
"43","86","86","86","0.8653353631583065","0.8653353631583065","0.8653353631583065"
"44","88","88","88","0.86525569588544","0.86525569588544","0.86525569588544"
"45","90","90","90","0.861639462403993","0.861639462403993","0.861639462403993"
"46","92","92","92","0.8640290116096238","0.8640290116096238","0.8640290116096238"
"47","94","94","94","0.8644748779015949","0.8644748779015949","0.8644748779015949"
"48","96","96","96","0.8640556261129669","0.8640556261129669","0.8640556261129669"
"49","98","98","98","0.8643090817965987","0.8643090817965987","0.8643090817965987"
"50","100","100","100","0.867895946049566","0.867895946049566","0.867895946049566"
"51","102","102","102","0.8619405540917185","0.8619405540917185","0.8619405540917185"
"52","104","104","104","0.8630392107924556","0.8630392107924556","0.8630392107924556"
"53","106","106","106","0.8677717356113102","0.8677717356113102","0.8677717356113102"
"54","108","108","108","0.8634113153587911","0.8634113153587911","0.8634113153587911"
"55","110","110","110","0.8659139680784571","0.8659139680784571","0.8659139680784571"
"56","112","112","112","0.8612508783933622","0.8612508783933622","0.8612508783933622"
"57","114","114","114","0.865076358189676","0.865076358189676","0.865076358189676"
"58","116","116","116","0.8658965950260553","0.8658965950260553","0.8658965950260553"
"59","118","118","118","0.86630216465326","0.86630216465326","0.86630216465326"
"60","120","120","120","0.8652765272561888","0.8652765272561888","0.8652765272561888"
"61","122","122","122","0.8653233484137706","0.8653233484137706","0.8653233484137706"
"62","124","124","124","0.8640914717020349","0.8640914717020349","0.8640914717020349"
"63","126","126","126","0.8703600296470269","0.8703600296470269","0.8703600296470269"
"64","128","128","128","0.8683849925586457","0.8683849925586457","0.8683849925586457"
"65","130","130","130","0.8602195546144157","0.8602195546144157","0.8602195546144157"
"66","132","132","132","0.8664030132253796","0.8664030132253796","0.8664030132253796"
"67","134","134","134","0.8645585244771782","0.8645585244771782","0.8645585244771782"
"68","136","136","136","0.8662618899058947","0.8662618899058947","0.8662618899058947"
"69","138","138","138","0.8669070649585853","0.8669070649585853","0.8669070649585853"
"70","140","140","140","0.8644839015647863","0.8644839015647863","0.8644839015647863"
"71","142","142","142","0.8634881025253202","0.8634881025253202","0.8634881025253202"
"72","144","144","144","0.8675530754932683","0.8675530754932683","0.8675530754932683"
"73","146","146","146","0.8688967992015768","0.8688967992015768","0.8688967992015768"
"74","148","148","148","0.8682963354737339","0.8682963354737339","0.8682963354737339"
"75","150","150","150","0.8684827263860678","0.8684827263860678","0.8684827263860678"
"76","152","152","152","0.868497603123195","0.868497603123195","0.868497603123195"
"77","154","154","154","0.8682921253124889","0.8682921253124889","0.8682921253124889"
"78","156","156","156","0.8673920269940132","0.8673920269940132","0.8673920269940132"
"79","158","158","158","0.8701954332451077","0.8701954332451077","0.8701954332451077"
"80","160","160","160","0.8717656195430292","0.8717656195430292","0.8717656195430292"
"81","162","162","162","0.8729825568014914","0.8729825568014914","0.8729825568014914"
"82","164","164","164","0.8705139819506124","0.8705139819506124","0.8705139819506124"
"83","166","166","166","0.8682999995925484","0.8682999995925484","0.8682999995925484"
"84","168","168","168","0.8709580336543236","0.8709580336543236","0.8709580336543236"
"85","170","170","170","0.8716882837765668","0.8716882837765668","0.8716882837765668"
"86","172","172","172","0.8675326355897082","0.8675326355897082","0.8675326355897082"
"87","174","174","174","0.8690490771075736","0.8690490771075736","0.8690490771075736"
"88","176","176","176","0.8682154548607312","0.8682154548607312","0.8682154548607312"
"89","178","178","178","0.8693457799341765","0.8693457799341765","0.8693457799341765"
"90","180","180","180","0.8649332530429618","0.8649332530429618","0.8649332530429618"
"91","182","182","182","0.869953220249522","0.869953220249522","0.869953220249522"
"92","184","184","184","0.8656557280080791","0.8656557280080791","0.8656557280080791"
"93","186","186","186","0.8709517035456598","0.8709517035456598","0.8709517035456598"
"94","188","188","188","0.8661027773665222","0.8661027773665222","0.8661027773665222"
"95","190","190","190","0.8708034705354838","0.8708034705354838","0.8708034705354838"
"96","192","192","192","0.8701604963849436","0.8701604963849436","0.8701604963849436"
"97","194","194","194","0.8705946974092862","0.8705946974092862","0.8705946974092862"
"98","196","196","196","0.8706162988375978","0.8706162988375978","0.8706162988375978"
"99","198","198","198","0.8674656817317247","0.8674656817317247","0.8674656817317247"
