"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"0","0","0","0","0.33630408399697015","0.33630408399697015","0.33630408399697015"
"1","2","2","2","0.291155946111684","0.291155946111684","0.291155946111684"
"2","4","4","4","0.2846067812078364","0.2846067812078364","0.2846067812078364"
"3","6","6","6","0.25512760675015766","0.25512760675015766","0.25512760675015766"
"4","8","8","8","0.2500820371824368","0.2500820371824368","0.2500820371824368"
"5","10","10","10","0.2379004307489111","0.2379004307489111","0.2379004307489111"
"6","12","12","12","0.22530421447891336","0.22530421447891336","0.22530421447891336"
"7","14","14","14","0.22398898851157556","0.22398898851157556","0.22398898851157556"
"8","16","16","16","0.22054082647699408","0.22054082647699408","0.22054082647699408"
"9","18","18","18","0.2010474713720948","0.2010474713720948","0.2010474713720948"
"10","20","20","20","0.20224452287052708","0.20224452287052708","0.20224452287052708"
"11","22","22","22","0.19021785928650609","0.19021785928650609","0.19021785928650609"
"12","24","24","24","0.188185374942963","0.188185374942963","0.188185374942963"
"13","26","26","26","0.18038054452191596","0.18038054452191596","0.18038054452191596"
"14","28","28","28","0.18432248711072408","0.18432248711072408","0.18432248711072408"
"15","30","30","30","0.1716059868233457","0.1716059868233457","0.1716059868233457"
"16","32","32","32","0.1743233599820454","0.1743233599820454","0.1743233599820454"
"17","34","34","34","0.16362374212718178","0.16362374212718178","0.16362374212718178"
"18","36","36","36","0.16809354957585224","0.16809354957585224","0.16809354957585224"
"19","38","38","38","0.16113481143501107","0.16113481143501107","0.16113481143501107"
"20","40","40","40","0.16513955465154984","0.16513955465154984","0.16513955465154984"
"21","42","42","42","0.16346126142602854","0.16346126142602854","0.16346126142602854"
"22","44","44","44","0.15894610698406167","0.15894610698406167","0.15894610698406167"
"23","46","46","46","0.1553425760968627","0.1553425760968627","0.1553425760968627"
"24","48","48","48","0.16427964974906986","0.16427964974906986","0.16427964974906986"
"25","50","50","50","0.15473636330359675","0.15473636330359675","0.15473636330359675"
