"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - ci_val","hopfield_testset - ci_val__MIN","hopfield_testset - ci_val__MAX"
"0","0","0","0","0.7589348647821232","0.7589348647821232","0.7589348647821232"
"1","2","2","2","0.7920824422191961","0.7920824422191961","0.7920824422191961"
"2","4","4","4","0.8033476418398187","0.8033476418398187","0.8033476418398187"
"3","6","6","6","0.8107030544963264","0.8107030544963264","0.8107030544963264"
"4","8","8","8","0.8121678101989342","0.8121678101989342","0.8121678101989342"
"5","10","10","10","0.8186769874515216","0.8186769874515216","0.8186769874515216"
"6","12","12","12","0.8175681141515095","0.8175681141515095","0.8175681141515095"
"7","14","14","14","0.8242269407703773","0.8242269407703773","0.8242269407703773"
"8","16","16","16","0.8230872603461331","0.8230872603461331","0.8230872603461331"
"9","18","18","18","0.8273594602904132","0.8273594602904132","0.8273594602904132"
"10","20","20","20","0.8235121648855397","0.8235121648855397","0.8235121648855397"
"11","22","22","22","0.8299739661021203","0.8299739661021203","0.8299739661021203"
"12","24","24","24","0.8366862594110105","0.8366862594110105","0.8366862594110105"
"13","26","26","26","0.8344810308150274","0.8344810308150274","0.8344810308150274"
"14","28","28","28","0.8357112461432146","0.8357112461432146","0.8357112461432146"
"15","30","30","30","0.8434422336763602","0.8434422336763602","0.8434422336763602"
"16","32","32","32","0.8399665100860976","0.8399665100860976","0.8399665100860976"
"17","34","34","34","0.8503768126298473","0.8503768126298473","0.8503768126298473"
"18","36","36","36","0.8535582271267244","0.8535582271267244","0.8535582271267244"
"19","38","38","38","0.8522317662197636","0.8522317662197636","0.8522317662197636"
"20","40","40","40","0.850844632647142","0.850844632647142","0.850844632647142"
"21","42","42","42","0.8568472421331413","0.8568472421331413","0.8568472421331413"
"22","44","44","44","0.8508740144067222","0.8508740144067222","0.8508740144067222"
"23","46","46","46","0.8567715497266022","0.8567715497266022","0.8567715497266022"
"24","48","48","48","0.8535919244869719","0.8535919244869719","0.8535919244869719"
"25","50","50","50","0.8634231163774956","0.8634231163774956","0.8634231163774956"
"26","52","52","52","0.8547075358706189","0.8547075358706189","0.8547075358706189"
"27","54","54","54","0.8571711967900124","0.8571711967900124","0.8571711967900124"
