"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"0","0","0","0","0.3373983189307782","0.3373983189307782","0.3373983189307782"
"1","2","2","2","0.2900532523599734","0.2900532523599734","0.2900532523599734"
"2","4","4","4","0.26477828831077577","0.26477828831077577","0.26477828831077577"
"3","6","6","6","0.25736965808472806","0.25736965808472806","0.25736965808472806"
"4","8","8","8","0.2398310908945397","0.2398310908945397","0.2398310908945397"
"5","10","10","10","0.2334492862796918","0.2334492862796918","0.2334492862796918"
"6","12","12","12","0.2239629588885507","0.2239629588885507","0.2239629588885507"
"7","14","14","14","0.21845996392064493","0.21845996392064493","0.21845996392064493"
"8","16","16","16","0.20852424760558896","0.20852424760558896","0.20852424760558896"
"9","18","18","18","0.20313738021836883","0.20313738021836883","0.20313738021836883"
"10","20","20","20","0.19862548680047318","0.19862548680047318","0.19862548680047318"
"11","22","22","22","0.19270749877435409","0.19270749877435409","0.19270749877435409"
"12","24","24","24","0.18174503390298977","0.18174503390298977","0.18174503390298977"
"13","26","26","26","0.1816168278588142","0.1816168278588142","0.1816168278588142"
"14","28","28","28","0.1757107584476491","0.1757107584476491","0.1757107584476491"
"15","30","30","30","0.17256971442297825","0.17256971442297825","0.17256971442297825"
"16","32","32","32","0.1726644139897414","0.1726644139897414","0.1726644139897414"
"17","34","34","34","0.17179016032696165","0.17179016032696165","0.17179016032696165"
"18","36","36","36","0.179525655882031","0.179525655882031","0.179525655882031"
"19","38","38","38","0.1611322222814107","0.1611322222814107","0.1611322222814107"
"20","40","40","40","0.1660317907147732","0.1660317907147732","0.1660317907147732"
"21","42","42","42","0.15935476101108614","0.15935476101108614","0.15935476101108614"
"22","44","44","44","0.1611578155117324","0.1611578155117324","0.1611578155117324"
"23","46","46","46","0.1618256832738409","0.1618256832738409","0.1618256832738409"
"24","48","48","48","0.1531060891860944","0.1531060891860944","0.1531060891860944"
"25","50","50","50","0.15303875981520124","0.15303875981520124","0.15303875981520124"
