"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - ci_val","hopfield_testset - ci_val__MIN","hopfield_testset - ci_val__MAX"
"0","0","0","0","0.7533350567852936","0.7533350567852936","0.7533350567852936"
"1","2","2","2","0.7805680466298933","0.7805680466298933","0.7805680466298933"
"2","4","4","4","0.803685344492357","0.803685344492357","0.803685344492357"
"3","6","6","6","0.8016596421386004","0.8016596421386004","0.8016596421386004"
"4","8","8","8","0.8129740735331954","0.8129740735331954","0.8129740735331954"
"5","10","10","10","0.8142709853499187","0.8142709853499187","0.8142709853499187"
"6","12","12","12","0.8192031606365598","0.8192031606365598","0.8192031606365598"
"7","14","14","14","0.8254180006356362","0.8254180006356362","0.8254180006356362"
"8","16","16","16","0.8265911636263948","0.8265911636263948","0.8265911636263948"
"9","18","18","18","0.8293879208211176","0.8293879208211176","0.8293879208211176"
"10","20","20","20","0.8271242886815542","0.8271242886815542","0.8271242886815542"
"11","22","22","22","0.8375543202102405","0.8375543202102405","0.8375543202102405"
"12","24","24","24","0.8343034842538367","0.8343034842538367","0.8343034842538367"
"13","26","26","26","0.8423314812870022","0.8423314812870022","0.8423314812870022"
"14","28","28","28","0.8422079275698942","0.8422079275698942","0.8422079275698942"
"15","30","30","30","0.8415269355567674","0.8415269355567674","0.8415269355567674"
"16","32","32","32","0.8380957601454644","0.8380957601454644","0.8380957601454644"
"17","34","34","34","0.8432145818372244","0.8432145818372244","0.8432145818372244"
"18","36","36","36","0.8496500335726589","0.8496500335726589","0.8496500335726589"
"19","38","38","38","0.8532886598743115","0.8532886598743115","0.8532886598743115"
"20","40","40","40","0.8498141122467382","0.8498141122467382","0.8498141122467382"
"21","42","42","42","0.8520180367600629","0.8520180367600629","0.8520180367600629"
"22","44","44","44","0.850086791430873","0.850086791430873","0.850086791430873"
"23","46","46","46","0.8531211516720002","0.8531211516720002","0.8531211516720002"
"24","48","48","48","0.8606782675318636","0.8606782675318636","0.8606782675318636"
"25","50","50","50","0.8574908127179179","0.8574908127179179","0.8574908127179179"
