"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"0","0","0","0","0.33937571477978945","0.33937571477978945","0.33937571477978945"
"1","2","2","2","0.2871594223652429","0.2871594223652429","0.2871594223652429"
"2","4","4","4","0.267648381498204","0.267648381498204","0.267648381498204"
"3","6","6","6","0.25350975594433106","0.25350975594433106","0.25350975594433106"
"4","8","8","8","0.243139142916395","0.243139142916395","0.243139142916395"
"5","10","10","10","0.24400006477992564","0.24400006477992564","0.24400006477992564"
"6","12","12","12","0.22151394989650092","0.22151394989650092","0.22151394989650092"
"7","14","14","14","0.2223315027915791","0.2223315027915791","0.2223315027915791"
"8","16","16","16","0.2033618279247535","0.2033618279247535","0.2033618279247535"
"9","18","18","18","0.20277645689947468","0.20277645689947468","0.20277645689947468"
"10","20","20","20","0.19761666928695254","0.19761666928695254","0.19761666928695254"
"11","22","22","22","0.19438204213311794","0.19438204213311794","0.19438204213311794"
"12","24","24","24","0.1815745690325764","0.1815745690325764","0.1815745690325764"
"13","26","26","26","0.18426593039402556","0.18426593039402556","0.18426593039402556"
"14","28","28","28","0.1881152059665808","0.1881152059665808","0.1881152059665808"
"15","30","30","30","0.17938057067535573","0.17938057067535573","0.17938057067535573"
"16","32","32","32","0.17364984679413722","0.17364984679413722","0.17364984679413722"
"17","34","34","34","0.17047093035989216","0.17047093035989216","0.17047093035989216"
"18","36","36","36","0.1675163257841065","0.1675163257841065","0.1675163257841065"
"19","38","38","38","0.16249627624300655","0.16249627624300655","0.16249627624300655"
"20","40","40","40","0.15977797259857762","0.15977797259857762","0.15977797259857762"
"21","42","42","42","0.16431822871682078","0.16431822871682078","0.16431822871682078"
"22","44","44","44","0.15688891990233264","0.15688891990233264","0.15688891990233264"
"23","46","46","46","0.15954914882653135","0.15954914882653135","0.15954914882653135"
"24","48","48","48","0.1555733133354326","0.1555733133354326","0.1555733133354326"
"25","50","50","50","0.1538556633952138","0.1538556633952138","0.1538556633952138"
"26","52","52","52","0.1522451458910365","0.1522451458910365","0.1522451458910365"
"27","54","54","54","0.15382554542716487","0.15382554542716487","0.15382554542716487"
"28","56","56","56","0.14808969946090864","0.14808969946090864","0.14808969946090864"
"29","58","58","58","0.14470772588875988","0.14470772588875988","0.14470772588875988"
"30","60","60","60","0.14558893077931154","0.14558893077931154","0.14558893077931154"
"31","62","62","62","0.14429993158318544","0.14429993158318544","0.14429993158318544"
"32","64","64","64","0.1493670421696188","0.1493670421696188","0.1493670421696188"
"33","66","66","66","0.14524302848549342","0.14524302848549342","0.14524302848549342"
"34","68","68","68","0.14466188818675146","0.14466188818675146","0.14466188818675146"
"35","70","70","70","0.1448189468625391","0.1448189468625391","0.1448189468625391"
"36","72","72","72","0.141828853179229","0.141828853179229","0.141828853179229"
"37","74","74","74","0.1452958114987022","0.1452958114987022","0.1452958114987022"
"38","76","76","76","0.1480234569280591","0.1480234569280591","0.1480234569280591"
"39","78","78","78","0.1458580331261377","0.1458580331261377","0.1458580331261377"
"40","80","80","80","0.1432968051130967","0.1432968051130967","0.1432968051130967"
"41","82","82","82","0.13911281185455712","0.13911281185455712","0.13911281185455712"
"42","84","84","84","0.1380503023666429","0.1380503023666429","0.1380503023666429"
"43","86","86","86","0.13951543116027637","0.13951543116027637","0.13951543116027637"
"44","88","88","88","0.14206291065321253","0.14206291065321253","0.14206291065321253"
"45","90","90","90","0.13899426383395216","0.13899426383395216","0.13899426383395216"
"46","92","92","92","0.13952862132041002","0.13952862132041002","0.13952862132041002"
"47","94","94","94","0.13928803167207007","0.13928803167207007","0.13928803167207007"
"48","96","96","96","0.13750833838854895","0.13750833838854895","0.13750833838854895"
"49","98","98","98","0.13625010580217178","0.13625010580217178","0.13625010580217178"
"50","100","100","100","0.13498282907439524","0.13498282907439524","0.13498282907439524"
"51","102","102","102","0.14063345691113346","0.14063345691113346","0.14063345691113346"
"52","104","104","104","0.13717180286028807","0.13717180286028807","0.13717180286028807"
"53","106","106","106","0.13724617295851604","0.13724617295851604","0.13724617295851604"
"54","108","108","108","0.1356902154585098","0.1356902154585098","0.1356902154585098"
"55","110","110","110","0.1345943103886255","0.1345943103886255","0.1345943103886255"
"56","112","112","112","0.13540829605182303","0.13540829605182303","0.13540829605182303"
"57","114","114","114","0.13679503658687656","0.13679503658687656","0.13679503658687656"
"58","116","116","116","0.13518104748745616","0.13518104748745616","0.13518104748745616"
"59","118","118","118","0.1346982511169646","0.1346982511169646","0.1346982511169646"
"60","120","120","120","0.13367264391454503","0.13367264391454503","0.13367264391454503"
"61","122","122","122","0.1323775788837596","0.1323775788837596","0.1323775788837596"
"62","124","124","124","0.13274617418189238","0.13274617418189238","0.13274617418189238"
"63","126","126","126","0.1320325154387425","0.1320325154387425","0.1320325154387425"
"64","128","128","128","0.13344514042869157","0.13344514042869157","0.13344514042869157"
"65","130","130","130","0.13437964682844009","0.13437964682844009","0.13437964682844009"
"66","132","132","132","0.1326346034718358","0.1326346034718358","0.1326346034718358"
"67","134","134","134","0.13207023634662482","0.13207023634662482","0.13207023634662482"
"68","136","136","136","0.1312745095578978","0.1312745095578978","0.1312745095578978"
"69","138","138","138","0.13235657168503437","0.13235657168503437","0.13235657168503437"
"70","140","140","140","0.13034501119692857","0.13034501119692857","0.13034501119692857"
"71","142","142","142","0.13645951272437942","0.13645951272437942","0.13645951272437942"
"72","144","144","144","0.13005506601121808","0.13005506601121808","0.13005506601121808"
"73","146","146","146","0.13112630866246358","0.13112630866246358","0.13112630866246358"
