"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - ci_val","hopfield_testset - ci_val__MIN","hopfield_testset - ci_val__MAX"
"0","0","0","0","0.761746385215379","0.761746385215379","0.761746385215379"
"1","2","2","2","0.7846534822772118","0.7846534822772118","0.7846534822772118"
"2","4","4","4","0.8023053506918318","0.8023053506918318","0.8023053506918318"
"3","6","6","6","0.8081869593743014","0.8081869593743014","0.8081869593743014"
"4","8","8","8","0.8134711754925623","0.8134711754925623","0.8134711754925623"
"5","10","10","10","0.8156997732551793","0.8156997732551793","0.8156997732551793"
"6","12","12","12","0.8251327217814771","0.8251327217814771","0.8251327217814771"
"7","14","14","14","0.8265718169030128","0.8265718169030128","0.8265718169030128"
"8","16","16","16","0.8284492319325681","0.8284492319325681","0.8284492319325681"
"9","18","18","18","0.829093064875207","0.829093064875207","0.829093064875207"
"10","20","20","20","0.8345920470323601","0.8345920470323601","0.8345920470323601"
"11","22","22","22","0.8371915246295241","0.8371915246295241","0.8371915246295241"
"12","24","24","24","0.8389743177422496","0.8389743177422496","0.8389743177422496"
"13","26","26","26","0.8358429679031322","0.8358429679031322","0.8358429679031322"
"14","28","28","28","0.8408786729636517","0.8408786729636517","0.8408786729636517"
"15","30","30","30","0.840548336658683","0.840548336658683","0.840548336658683"
"16","32","32","32","0.8454445270021513","0.8454445270021513","0.8454445270021513"
"17","34","34","34","0.8398012732347939","0.8398012732347939","0.8398012732347939"
"18","36","36","36","0.849113466592721","0.849113466592721","0.849113466592721"
"19","38","38","38","0.85127189040237","0.85127189040237","0.85127189040237"
"20","40","40","40","0.8449998777932713","0.8449998777932713","0.8449998777932713"
"21","42","42","42","0.849738331619579","0.849738331619579","0.849738331619579"
"22","44","44","44","0.8518015704714368","0.8518015704714368","0.8518015704714368"
"23","46","46","46","0.8480321771142145","0.8480321771142145","0.8480321771142145"
"24","48","48","48","0.8525035250925628","0.8525035250925628","0.8525035250925628"
"25","50","50","50","0.8519252967762586","0.8519252967762586","0.8519252967762586"
"26","52","52","52","0.8614378633535534","0.8614378633535534","0.8614378633535534"
"27","54","54","54","0.8590164475301433","0.8590164475301433","0.8590164475301433"
"28","56","56","56","0.8558514547982726","0.8558514547982726","0.8558514547982726"
"29","58","58","58","0.8593177657494125","0.8593177657494125","0.8593177657494125"
"30","60","60","60","0.852425102665996","0.852425102665996","0.852425102665996"
"31","62","62","62","0.8604587234277525","0.8604587234277525","0.8604587234277525"
"32","64","64","64","0.8584976224727338","0.8584976224727338","0.8584976224727338"
"33","66","66","66","0.8590433207041106","0.8590433207041106","0.8590433207041106"
"34","68","68","68","0.8644668648588817","0.8644668648588817","0.8644668648588817"
"35","70","70","70","0.8578539962022785","0.8578539962022785","0.8578539962022785"
"36","72","72","72","0.8633362358361265","0.8633362358361265","0.8633362358361265"
"37","74","74","74","0.8651866953792428","0.8651866953792428","0.8651866953792428"
"38","76","76","76","0.8665837003167821","0.8665837003167821","0.8665837003167821"
"39","78","78","78","0.8602439531799462","0.8602439531799462","0.8602439531799462"
"40","80","80","80","0.8653013242478041","0.8653013242478041","0.8653013242478041"
"41","82","82","82","0.8620193070584625","0.8620193070584625","0.8620193070584625"
"42","84","84","84","0.8639854837055105","0.8639854837055105","0.8639854837055105"
"43","86","86","86","0.8657985179841688","0.8657985179841688","0.8657985179841688"
"44","88","88","88","0.8584191051969745","0.8584191051969745","0.8584191051969745"
"45","90","90","90","0.8619208964188552","0.8619208964188552","0.8619208964188552"
"46","92","92","92","0.8658641652758807","0.8658641652758807","0.8658641652758807"
"47","94","94","94","0.8669542144600443","0.8669542144600443","0.8669542144600443"
"48","96","96","96","0.8675635019549655","0.8675635019549655","0.8675635019549655"
"49","98","98","98","0.8675275963884611","0.8675275963884611","0.8675275963884611"
"50","100","100","100","0.8717522437283697","0.8717522437283697","0.8717522437283697"
"51","102","102","102","0.8697175672626255","0.8697175672626255","0.8697175672626255"
"52","104","104","104","0.8652790368849257","0.8652790368849257","0.8652790368849257"
"53","106","106","106","0.8685031912909823","0.8685031912909823","0.8685031912909823"
"54","108","108","108","0.8683227520910054","0.8683227520910054","0.8683227520910054"
"55","110","110","110","0.86426278329066","0.86426278329066","0.86426278329066"
"56","112","112","112","0.8677493296613077","0.8677493296613077","0.8677493296613077"
"57","114","114","114","0.8697101674225172","0.8697101674225172","0.8697101674225172"
"58","116","116","116","0.8699197601349318","0.8699197601349318","0.8699197601349318"
"59","118","118","118","0.862896255694617","0.862896255694617","0.862896255694617"
"60","120","120","120","0.86712764012142","0.86712764012142","0.86712764012142"
"61","122","122","122","0.8707138035952493","0.8707138035952493","0.8707138035952493"
"62","124","124","124","0.8672384992728219","0.8672384992728219","0.8672384992728219"
"63","126","126","126","0.8665862347487531","0.8665862347487531","0.8665862347487531"
"64","128","128","128","0.8671037274540069","0.8671037274540069","0.8671037274540069"
"65","130","130","130","0.8717312147495766","0.8717312147495766","0.8717312147495766"
"66","132","132","132","0.8626628784844635","0.8626628784844635","0.8626628784844635"
"67","134","134","134","0.8699677895696194","0.8699677895696194","0.8699677895696194"
"68","136","136","136","0.8659796580702922","0.8659796580702922","0.8659796580702922"
"69","138","138","138","0.8651648235958492","0.8651648235958492","0.8651648235958492"
"70","140","140","140","0.8654991311223198","0.8654991311223198","0.8654991311223198"
"71","142","142","142","0.8655199172041549","0.8655199172041549","0.8655199172041549"
"72","144","144","144","0.8658237483064876","0.8658237483064876","0.8658237483064876"
"73","146","146","146","0.8650465680952204","0.8650465680952204","0.8650465680952204"
"74","148","148","148","0.8697799120961306","0.8697799120961306","0.8697799120961306"
"75","150","150","150","0.8689175279349461","0.8689175279349461","0.8689175279349461"
"76","152","152","152","0.8665842789738233","0.8665842789738233","0.8665842789738233"
"77","154","154","154","0.8692542221150596","0.8692542221150596","0.8692542221150596"
"78","156","156","156","0.8722582723349799","0.8722582723349799","0.8722582723349799"
"79","158","158","158","0.8666326997221846","0.8666326997221846","0.8666326997221846"
"80","160","160","160","0.8657166205159584","0.8657166205159584","0.8657166205159584"
"81","162","162","162","0.8670610169681148","0.8670610169681148","0.8670610169681148"
"82","164","164","164","0.8643736592575364","0.8643736592575364","0.8643736592575364"
"83","166","166","166","0.867516960771526","0.867516960771526","0.867516960771526"
"84","168","168","168","0.8723712724391218","0.8723712724391218","0.8723712724391218"
"85","170","170","170","0.8729746412282614","0.8729746412282614","0.8729746412282614"
"86","172","172","172","0.8695074256830574","0.8695074256830574","0.8695074256830574"
"87","174","174","174","0.8696944119478253","0.8696944119478253","0.8696944119478253"
"88","176","176","176","0.8670175846121865","0.8670175846121865","0.8670175846121865"
"89","178","178","178","0.8701861658534927","0.8701861658534927","0.8701861658534927"
"90","180","180","180","0.8670457894758926","0.8670457894758926","0.8670457894758926"
"91","182","182","182","0.866606037085867","0.866606037085867","0.866606037085867"
"92","184","184","184","0.8683466304918379","0.8683466304918379","0.8683466304918379"
"93","186","186","186","0.8704443687095356","0.8704443687095356","0.8704443687095356"
"94","188","188","188","0.871082531665868","0.871082531665868","0.871082531665868"
"95","190","190","190","0.8663144042217772","0.8663144042217772","0.8663144042217772"
"96","192","192","192","0.8670521172193617","0.8670521172193617","0.8670521172193617"
"97","194","194","194","0.8735057754086973","0.8735057754086973","0.8735057754086973"
"98","196","196","196","0.867489190962032","0.867489190962032","0.867489190962032"
"99","198","198","198","0.86809764207988","0.86809764207988","0.86809764207988"
"100","200","200","200","0.870105529314191","0.870105529314191","0.870105529314191"
"101","202","202","202","0.8718446471567015","0.8718446471567015","0.8718446471567015"
"102","204","204","204","0.869204609733721","0.869204609733721","0.869204609733721"
"103","206","206","206","0.8677675317194947","0.8677675317194947","0.8677675317194947"
"104","208","208","208","0.8673181594375698","0.8673181594375698","0.8673181594375698"
"105","210","210","210","0.8714139153155704","0.8714139153155704","0.8714139153155704"
"106","212","212","212","0.8696655674937493","0.8696655674937493","0.8696655674937493"
"107","214","214","214","0.873560784158696","0.873560784158696","0.873560784158696"
"108","216","216","216","0.8721179299433308","0.8721179299433308","0.8721179299433308"
"109","218","218","218","0.8718987654896699","0.8718987654896699","0.8718987654896699"
"110","220","220","220","0.8721610183696243","0.8721610183696243","0.8721610183696243"
"111","222","222","222","0.8720738952329185","0.8720738952329185","0.8720738952329185"
"112","224","224","224","0.8748690590423172","0.8748690590423172","0.8748690590423172"
"113","226","226","226","0.8737907438245697","0.8737907438245697","0.8737907438245697"
"114","228","228","228","0.8758295051575995","0.8758295051575995","0.8758295051575995"
"115","230","230","230","0.8697227970635522","0.8697227970635522","0.8697227970635522"
"116","232","232","232","0.8727697229108107","0.8727697229108107","0.8727697229108107"
"117","234","234","234","0.8715127844670438","0.8715127844670438","0.8715127844670438"
"118","236","236","236","0.8711305049590233","0.8711305049590233","0.8711305049590233"
"119","238","238","238","0.8725166918408528","0.8725166918408528","0.8725166918408528"
"120","240","240","240","0.8718624113850068","0.8718624113850068","0.8718624113850068"
"121","242","242","242","0.8710408388320163","0.8710408388320163","0.8710408388320163"
"122","244","244","244","0.8741645469499071","0.8741645469499071","0.8741645469499071"
"123","246","246","246","0.8730019201875956","0.8730019201875956","0.8730019201875956"
"124","248","248","248","0.8703861239797396","0.8703861239797396","0.8703861239797396"
"125","250","250","250","0.8728992306727029","0.8728992306727029","0.8728992306727029"
"126","252","252","252","0.8733522400226512","0.8733522400226512","0.8733522400226512"
"127","254","254","254","0.8745251240272813","0.8745251240272813","0.8745251240272813"
"128","256","256","256","0.8776600642285803","0.8776600642285803","0.8776600642285803"
"129","258","258","258","0.8715193091472828","0.8715193091472828","0.8715193091472828"
"130","260","260","260","0.8755750386174942","0.8755750386174942","0.8755750386174942"
"131","262","262","262","0.8785531173734542","0.8785531173734542","0.8785531173734542"
"132","264","264","264","0.8779717139867881","0.8779717139867881","0.8779717139867881"
"133","266","266","266","0.8766944288006969","0.8766944288006969","0.8766944288006969"
"134","268","268","268","0.8758682490334602","0.8758682490334602","0.8758682490334602"
"135","270","270","270","0.875285203008242","0.875285203008242","0.875285203008242"
"136","272","272","272","0.8795363846122025","0.8795363846122025","0.8795363846122025"
"137","274","274","274","0.8763657698398487","0.8763657698398487","0.8763657698398487"
"138","276","276","276","0.877619233160386","0.877619233160386","0.877619233160386"
"139","278","278","278","0.8745819216362063","0.8745819216362063","0.8745819216362063"
"140","280","280","280","0.8683120524494249","0.8683120524494249","0.8683120524494249"
"141","282","282","282","0.8736213705773437","0.8736213705773437","0.8736213705773437"
"142","284","284","284","0.8793252750776673","0.8793252750776673","0.8793252750776673"
"143","286","286","286","0.8808600939239459","0.8808600939239459","0.8808600939239459"
"144","288","288","288","0.8756681168853095","0.8756681168853095","0.8756681168853095"
"145","290","290","290","0.8802320234528391","0.8802320234528391","0.8802320234528391"
"146","292","292","292","0.8736133728245853","0.8736133728245853","0.8736133728245853"
"147","294","294","294","0.874843014820896","0.874843014820896","0.874843014820896"
"148","296","296","296","0.8773908605585685","0.8773908605585685","0.8773908605585685"
"149","298","298","298","0.8757181701429954","0.8757181701429954","0.8757181701429954"
"150","300","300","300","0.8765060743012064","0.8765060743012064","0.8765060743012064"
"151","302","302","302","0.8786463755657619","0.8786463755657619","0.8786463755657619"
"152","304","304","304","0.8699758701260957","0.8699758701260957","0.8699758701260957"
"153","306","306","306","0.8767732164568206","0.8767732164568206","0.8767732164568206"
"154","308","308","308","0.8755033050204417","0.8755033050204417","0.8755033050204417"
"155","310","310","310","0.8759374002125605","0.8759374002125605","0.8759374002125605"
"156","312","312","312","0.8717536233816303","0.8717536233816303","0.8717536233816303"
"157","314","314","314","0.8775753880917202","0.8775753880917202","0.8775753880917202"
"158","316","316","316","0.8763199025705223","0.8763199025705223","0.8763199025705223"
"159","318","318","318","0.876195168394475","0.876195168394475","0.876195168394475"
"160","320","320","320","0.875434025395318","0.875434025395318","0.875434025395318"
"161","322","322","322","0.8724076332696175","0.8724076332696175","0.8724076332696175"
"162","324","324","324","0.8746556067171476","0.8746556067171476","0.8746556067171476"
"163","326","326","326","0.8742901919505803","0.8742901919505803","0.8742901919505803"
"164","328","328","328","0.8761646464523248","0.8761646464523248","0.8761646464523248"
"165","330","330","330","0.8798663195125062","0.8798663195125062","0.8798663195125062"
"166","332","332","332","0.8734587494723817","0.8734587494723817","0.8734587494723817"
"167","334","334","334","0.872654938954304","0.872654938954304","0.872654938954304"
"168","336","336","336","0.8728102368512087","0.8728102368512087","0.8728102368512087"
"169","338","338","338","0.8738323160178558","0.8738323160178558","0.8738323160178558"
"170","340","340","340","0.8723982800039504","0.8723982800039504","0.8723982800039504"
"171","342","342","342","0.868859414511358","0.868859414511358","0.868859414511358"
"172","344","344","344","0.8764641808504482","0.8764641808504482","0.8764641808504482"
"173","346","346","346","0.8753614911703567","0.8753614911703567","0.8753614911703567"
"174","348","348","348","0.8784034990645129","0.8784034990645129","0.8784034990645129"
"175","350","350","350","0.8741715088714062","0.8741715088714062","0.8741715088714062"
"176","352","352","352","0.8736963263066058","0.8736963263066058","0.8736963263066058"
"177","354","354","354","0.8744657958718378","0.8744657958718378","0.8744657958718378"
"178","356","356","356","0.878612546966594","0.878612546966594","0.878612546966594"
"179","358","358","358","0.8823040726529529","0.8823040726529529","0.8823040726529529"
"180","360","360","360","0.8773836458926169","0.8773836458926169","0.8773836458926169"
"181","362","362","362","0.8777654152231994","0.8777654152231994","0.8777654152231994"
"182","364","364","364","0.8785318733212969","0.8785318733212969","0.8785318733212969"
"183","366","366","366","0.8760493200148719","0.8760493200148719","0.8760493200148719"
"184","368","368","368","0.8729469147233438","0.8729469147233438","0.8729469147233438"
"185","370","370","370","0.8696840555982362","0.8696840555982362","0.8696840555982362"
"186","372","372","372","0.8749446873243372","0.8749446873243372","0.8749446873243372"
"187","374","374","374","0.8749760275429005","0.8749760275429005","0.8749760275429005"
"188","376","376","376","0.8780145604896709","0.8780145604896709","0.8780145604896709"
"189","378","378","378","0.8771114896499184","0.8771114896499184","0.8771114896499184"
"190","380","380","380","0.873153669496243","0.873153669496243","0.873153669496243"
"191","382","382","382","0.8756329246850812","0.8756329246850812","0.8756329246850812"
"192","384","384","384","0.8773234711937309","0.8773234711937309","0.8773234711937309"
"193","386","386","386","0.8781995664016732","0.8781995664016732","0.8781995664016732"
"194","388","388","388","0.8753837091487932","0.8753837091487932","0.8753837091487932"
"195","390","390","390","0.874423090316412","0.874423090316412","0.874423090316412"
"196","392","392","392","0.8746073323339278","0.8746073323339278","0.8746073323339278"
"197","394","394","394","0.8772027983191965","0.8772027983191965","0.8772027983191965"
"198","396","396","396","0.87336594972411","0.87336594972411","0.87336594972411"
"199","398","398","398","0.8737695619767956","0.8737695619767956","0.8737695619767956"
"200","400","400","400","0.8731083789070544","0.8731083789070544","0.8731083789070544"
"201","402","402","402","0.8745695265862264","0.8745695265862264","0.8745695265862264"
"202","404","404","404","0.870564593718001","0.870564593718001","0.870564593718001"
"203","406","406","406","0.8736018543402012","0.8736018543402012","0.8736018543402012"
"204","408","408","408","0.870015581525872","0.870015581525872","0.870015581525872"
"205","410","410","410","0.8695973924191498","0.8695973924191498","0.8695973924191498"
"206","412","412","412","0.8726955849066493","0.8726955849066493","0.8726955849066493"
"207","414","414","414","0.868446556854869","0.868446556854869","0.868446556854869"
"208","416","416","416","0.8716642328625108","0.8716642328625108","0.8716642328625108"
"209","418","418","418","0.8767449960432996","0.8767449960432996","0.8767449960432996"
"210","420","420","420","0.8806020001232368","0.8806020001232368","0.8806020001232368"
"211","422","422","422","0.8717275313272551","0.8717275313272551","0.8717275313272551"
"212","424","424","424","0.8747560798187823","0.8747560798187823","0.8747560798187823"
