"epoch","wurdinger_fnn_testset.yaml - _step","wurdinger_fnn_testset.yaml - _step__MIN","wurdinger_fnn_testset.yaml - _step__MAX","wurdinger_fnn_testset.yaml - loss_to_report_val","wurdinger_fnn_testset.yaml - loss_to_report_val__MIN","wurdinger_fnn_testset.yaml - loss_to_report_val__MAX"
"0","0","0","0","0.4260098317764377","0.420515757981846","0.43114127520797996"
"1","2","2","2","0.36905653507612707","0.365129551888797","0.3733498711149844"
"2","4","4","4","0.3418459264430514","0.33493731261109877","0.34785214915672874"
"3","6","6","6","0.3239758203651279","0.3139650683552899","0.32909730416594674"
"4","8","8","8","0.3067025691301698","0.2995426739540494","0.31206113235476646"
"5","10","10","10","0.30033404907564554","0.29273487488731564","0.3085049738707205"
"6","12","12","12","0.29030682871404834","0.28053269434104583","0.3009945546607843"
"7","14","14","14","0.28219617453526047","0.27074071129833477","0.2909343870834342"
"8","16","16","16","0.2760001768271783","0.26883574093860974","0.2834227264777371"
"9","18","18","18","0.2671345214389162","0.2630709161560986","0.2718754211847147"
"10","20","20","20","0.2637657995499151","0.2572452621049179","0.26975800500572206"
"11","22","22","22","0.2557067747307741","0.24818706524520975","0.26393440491437575"
"12","24","24","24","0.2502738466093828","0.243962958603471","0.26349705019035"
"13","26","26","26","0.2455113631914692","0.2404619836655291","0.2519845845081329"
"14","28","28","28","0.24401084215001193","0.23699818924076174","0.24770809578680486"
"15","30","30","30","0.2360053593829024","0.23010998729222487","0.24002111451121516"
"16","32","32","32","0.23172581530208092","0.2262009159536756","0.2364351823712157"
"17","34","34","34","0.2293071423927001","0.21864495592294042","0.23965309444103886"
"18","36","36","36","0.22653612507623397","0.22014235418970016","0.23239976624798891"
"19","38","38","38","0.21915124583027595","0.21478746366613682","0.22577216627019425"
"20","40","40","40","0.2151460818029348","0.2092243170132202","0.21759903187012014"
"21","42","42","42","0.21272648841111894","0.20502898250765975","0.2187480824368248"
"22","44","44","44","0.21264457452891605","0.20640125566014073","0.21656026178948456"
"23","46","46","46","0.20848267194007436","0.1997384451109079","0.21697269436593777"
"24","48","48","48","0.20550255695432296","0.20001683284263538","0.21014056592509625"
"25","50","50","50","0.20274049787804554","0.19878692806329973","0.2078836646806827"
"26","52","52","52","0.20219395571860818","0.19765325063859032","0.20916811176948263"
"27","54","54","54","0.19679730548818405","0.1938383578104638","0.2014758906593383"
"28","56","56","56","0.19606651806712122","0.19162394120608725","0.19885700184594704"
"29","58","58","58","0.1949202130082079","0.18804122975011323","0.20505359210521848"
"30","60","60","60","0.19156449557958927","0.18726737708998062","0.1974743466883379"
"31","62","62","62","0.18991426238811288","0.1863710951085693","0.19495520724914905"
"32","64","64","64","0.1882211541654184","0.18487639964507424","0.19123321253617018"
"33","66","66","66","0.18797308561304335","0.18255999553982027","0.1911934284936302"
"34","68","68","68","0.18415124978397218","0.18069341183604842","0.18997748690248656"
"35","70","70","70","0.18326023079718742","0.1801056104876454","0.19036409967244958"
"36","72","72","72","0.18080190597405096","0.17788848901992402","0.1869717187610655"
"37","74","74","74","0.18068314602813676","0.17803965995571966","0.18414265671819943"
"38","76","76","76","0.17782549501400496","0.1727073151895642","0.18178809555381306"
"39","78","78","78","0.17676654152776214","0.1716358470933104","0.1817033692147521"
"40","80","80","80","0.17512031546841023","0.17308722594048426","0.1790928799173196"
"41","82","82","82","0.17464378503870603","0.17236023907364112","0.17666773867198937"
"42","84","84","84","0.17457808328855515","0.17136644539575782","0.17756241361844521"
"43","86","86","86","0.17304008679115016","0.1677966619589261","0.17815704038383556"
"44","88","88","88","0.1709848538460074","0.16766402287547252","0.17394927369125673"
"45","90","90","90","0.16995864367776986","0.16827097023494691","0.1719726880036586"
"46","92","92","92","0.1702406007561367","0.16661540301408892","0.17385342568977277"
"47","94","94","94","0.16953481870366852","0.16539737691054143","0.17372567490818588"
"48","96","96","96","0.1672866476025075","0.1634395372884027","0.1706021622953432"
"49","98","98","98","0.16596536872394993","0.16416817939699366","0.16866113076910091"
"50","100","100","100","0.1663837009736808","0.16297616608901863","0.17319678150399206"
"51","102","102","102","0.16520634786661756","0.16252695811413204","0.1672872730863282"
"52","104","104","104","0.16372569798618491","0.16111576873571487","0.16587342816894757"
"53","106","106","106","0.16354419876029416","0.16076723586187183","0.16655801617856192"
"54","108","108","108","0.16254576688326783","0.15962435206581124","0.17015916601384626"
"55","110","110","110","0.1620130596156965","0.1594891153558889","0.169499131417239"
"56","112","112","112","0.16056326101246185","0.15821705508287376","0.16286892239564735"
"57","114","114","114","0.16010252807203035","0.15747591029460373","0.16257442060830307"
"58","116","116","116","0.15986458281207566","0.15640732075650687","0.16356755936138329"
"59","118","118","118","0.15890146816382483","0.1558552411636274","0.16273709021937596"
"60","120","120","120","0.1580629401133125","0.1560636342582398","0.16178274486714983"
"61","122","122","122","0.1580758628984362","0.15521243891972838","0.16104380940307791"
"62","124","124","124","0.15635610741483882","0.15268486318071448","0.15854193986763745"
"63","126","126","126","0.15729784566925648","0.15409467851353625","0.16191863105451956"
"64","128","128","128","0.15614204925053785","0.15313549090574755","0.1582497793234142"
"65","130","130","130","0.15480739270978902","0.152954135410237","0.1567937093029635"
"66","132","132","132","0.15412329422771148","0.15284699689145428","0.15541449967815582"
"67","134","134","134","0.15491528511592254","0.1525992281221309","0.15934760400149947"
"68","136","136","136","0.15251495755051955","0.15027937502533192","0.15591698112585176"
"69","138","138","138","0.15299456610766457","0.15021888483058923","0.15597294023719593"
