"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - loss_to_report_val","Name: hopfield_full - loss_to_report_val__MIN","Name: hopfield_full - loss_to_report_val__MAX"
"0","0","0","0","0.4282189611160542","0.42440140737629617","0.43433083434555503"
"1","2","2","2","0.37824400382178347","0.36664281401844967","0.388534320009729"
"2","4","4","4","0.3547065444335323","0.34189384212331186","0.3665166300007671"
"3","6","6","6","0.3333491067498625","0.32337109549507387","0.341884032802808"
"4","8","8","8","0.31517661890124343","0.310832386280958","0.31817540617090484"
"5","10","10","10","0.30148656829806714","0.29427221422134564","0.3042669561391232"
"6","12","12","12","0.29180669552934685","0.2833361743996673","0.2978554354528089"
"7","14","14","14","0.28098998705461586","0.2752720022150395","0.2849230749392174"
"8","16","16","16","0.2770436711064671","0.27114371752241495","0.2833925404644012"
"9","18","18","18","0.2666699951839583","0.2584107698706407","0.2748653978835266"
"10","20","20","20","0.26187640086931946","0.2554423295874242","0.26724593016807774"
"11","22","22","22","0.2581975371856531","0.250808570965596","0.2668031098690204"
"12","24","24","24","0.2529814637327924","0.24735077762472854","0.2562159314160085"
"13","26","26","26","0.2461636681045527","0.23967914252310207","0.2503420513354177"
"14","28","28","28","0.24132179669766388","0.2374685111934738","0.245888792310529"
"15","30","30","30","0.23630853954359554","0.22967107542073223","0.24142171159926568"
"16","32","32","32","0.23094626653945816","0.22624847108513663","0.23901751660770323"
"17","34","34","34","0.22979615422166533","0.2253470800154974","0.23425845957120162"
"18","36","36","36","0.2253333266044511","0.2236344676330733","0.2286632654945442"
"19","38","38","38","0.2228083318667521","0.22092050100237734","0.2289398354526644"
"20","40","40","40","0.21850040428130799","0.21450038336759056","0.2213996518354618"
"21","42","42","42","0.21320162648339336","0.2095796860756408","0.21667072053549502"
"22","44","44","44","0.21208481515142164","0.20839882971349596","0.21435577161319744"
"23","46","46","46","0.20863443471879456","0.20435656839802888","0.21229816026396683"
"24","48","48","48","0.20462562500209103","0.20102833366458567","0.20844974185783235"
"25","50","50","50","0.2036766850117823","0.19944886033067008","0.20805386871084172"
"26","52","52","52","0.2033099989755968","0.19838653473760276","0.20829499247470049"
"27","54","54","54","0.1972681138140086","0.1947535932306389","0.1992391084076709"
"28","56","56","56","0.19615064701864723","0.19132686592969333","0.2000275721367209"
"29","58","58","58","0.1980165256065212","0.1928492297603519","0.20345661069517215"
"30","60","60","60","0.19138157278944928","0.1890258043121505","0.19269204739907023"
"31","62","62","62","0.19394404334948664","0.1903968673672661","0.19629176867828294"
"32","64","64","64","0.18919879153383198","0.1852389309841222","0.19139382482400172"
"33","66","66","66","0.18949914945460822","0.1855841364863421","0.19400356045261588"
"34","68","68","68","0.18710822750002448","0.18344047829541368","0.19142476229785954"
"35","70","70","70","0.1829750689424834","0.18182124677867625","0.1851216075914261"
"36","72","72","72","0.18345388184756456","0.18158601251411996","0.1847537580599031"
"37","74","74","74","0.182175046992691","0.17940354691404606","0.1847203868210409"
"38","76","76","76","0.18083517166677462","0.17494134501065725","0.19256563490976886"
"39","78","78","78","0.17693716639034687","0.17531520054297786","0.1785044687745552"
"40","80","80","80","0.17719526462157462","0.17285851310713565","0.18285042477815006"
"41","82","82","82","0.17689898253587705","0.17433396060566286","0.17868147626659323"
"42","84","84","84","0.17478503948488738","0.17244624571958564","0.17691010630695805"
"43","86","86","86","0.17435294649285638","0.17255211526637737","0.17634878452329789"
"44","88","88","88","0.17267827228671476","0.16882403971312918","0.17478711923443788"
"45","90","90","90","0.1708900723509586","0.1686309446023299","0.17200912852101638"
"46","92","92","92","0.17120416273204886","0.1674492299223881","0.1767004927318237"
"47","94","94","94","0.17196640739204622","0.16979651555371975","0.17639143522543935"
"48","96","96","96","0.17049238351755708","0.16577323325169827","0.17477426010656844"
"49","98","98","98","0.16789974505332012","0.1651434339829912","0.16969852290810472"
"50","100","100","100","0.16830004273430613","0.16329124404127002","0.1724270566638845"
"51","102","102","102","0.16675727274134333","0.16527457434457896","0.16860380905134362"
"52","104","104","104","0.1660630545439279","0.1608826289324787","0.17083907191545075"
"53","106","106","106","0.16497984056699108","0.16385201220869286","0.16735030499466147"
"54","108","108","108","0.16496054741931823","0.15982024086658855","0.17185048756848056"
"55","110","110","110","0.16376394088099736","0.16083312003817982","0.16910263746134105"
"56","112","112","112","0.16279137559029289","0.1608426533940576","0.16426342119394383"
"57","114","114","114","0.16051477424557814","0.1587040321255319","0.16475838763734293"
"58","116","116","116","0.16222508542753553","0.15996214320204752","0.16532266532809042"
"59","118","118","118","0.16028124396418295","0.15718335410980153","0.16387754840202282"
"60","120","120","120","0.15988611691247648","0.15774368487418775","0.16146384325830382"
"61","122","122","122","0.15891083660677244","0.1573336157715991","0.1622665878134017"
"62","124","124","124","0.15934947766336843","0.15730598740416746","0.16185171373401092"
"63","126","126","126","0.15705732099973368","0.15439017306553046","0.16080174627208202"
"64","128","128","128","0.15724174493671067","0.1540961583151193","0.16077656567385645"
"65","130","130","130","0.15702766618541744","0.15556056724329398","0.15893814990551533"
"66","132","132","132","0.15643213399699207","0.15357678446291043","0.1605443455718771"
"67","134","134","134","0.15782169749976505","0.15614219585232866","0.1602113583187049"
"68","136","136","136","0.15531458814098786","0.15341248900707127","0.15732598509298845"
"69","138","138","138","0.1548546673088799","0.15127917349045375","0.1574568103981115"
"70","140","140","140","0.15394567605715812","0.15333614872292975","0.15483635214634406"
"71","142","142","142","0.15381312213876464","0.15192590303685743","0.15551293193959756"
"72","144","144","144","0.15465852192200766","0.1529209924846315","0.15747083742288565"
"73","146","146","146","0.15287843680156638","0.1520742179796437","0.15409871676847184"
"74","148","148","148","0.15320829725989366","0.15103751510745297","0.1549542106902808"
"75","150","150","150","0.15412849761662478","0.15147269337137365","0.15732925647097146"
"76","152","152","152","0.15335372363534155","0.14955338834088708","0.15576800911399077"
"77","154","154","154","0.15308667389386726","0.14968868944337735","0.15676998418569565"
"78","156","156","156","0.15341043583737557","0.1520856504533084","0.15423042462994882"
"79","158","158","158","0.15233508974649806","0.14889097531764287","0.15563033101355508"
