"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - loss_to_report_val","Name: hopfield_mol - loss_to_report_val__MIN","Name: hopfield_mol - loss_to_report_val__MAX"
"0","0","0","0","0.42001240903865256","0.4163728760803095","0.4262944575430524"
"1","2","2","2","0.37071484387894743","0.3647466524824006","0.3782791803173906"
"2","4","4","4","0.3453651804441125","0.332446823565248","0.35642692766145573"
"3","6","6","6","0.32718765588606796","0.32041314627197626","0.3329032139240205"
"4","8","8","8","0.31295444924088794","0.3073201977221686","0.3198430322937554"
"5","10","10","10","0.2999436618580453","0.2957189050835004","0.3043525225708912"
"6","12","12","12","0.2932794262844968","0.2870308326501004","0.2997324157365198"
"7","14","14","14","0.2823085170463418","0.27686518588998926","0.28753070226955985"
"8","16","16","16","0.27633385390262877","0.26815977089871385","0.2862429724668055"
"9","18","18","18","0.26802525303646","0.26060047399229924","0.2750417831411986"
"10","20","20","20","0.2652012520227478","0.2544030034347585","0.27222852766828265"
"11","22","22","22","0.25958115994345005","0.2556253717494029","0.26655099996711284"
"12","24","24","24","0.2569316065200632","0.25413656194296763","0.26164031690141226"
"13","26","26","26","0.24783329251606395","0.24266917708755342","0.25365301845356886"
"14","28","28","28","0.24627128206141888","0.24188199366516855","0.250320348241401"
"15","30","30","30","0.2430614248941018","0.234662131320118","0.24990336448480738"
"16","32","32","32","0.23570939931062282","0.22956801756427472","0.24224905544190378"
"17","34","34","34","0.2341967957163657","0.23001827665710778","0.23817884664953054"
"18","36","36","36","0.22873553538387653","0.22742447255306106","0.230462008664681"
"19","38","38","38","0.22621972221164643","0.21882505281129006","0.23113172381545005"
"20","40","40","40","0.222822623001311","0.21826789353670256","0.23178725785074705"
"21","42","42","42","0.21864018963156928","0.21533673934469852","0.22616179305937445"
"22","44","44","44","0.21760050392316987","0.21426153506697185","0.2219709653644047"
"23","46","46","46","0.21450797121814577","0.21211912156420126","0.21667449504273278"
"24","48","48","48","0.20920059792691315","0.2062372926694267","0.2116345637160083"
"25","50","50","50","0.20874162211352826","0.20196673276759877","0.21508368401823794"
"26","52","52","52","0.20799201948978846","0.20362151665337574","0.2117821559102296"
"27","54","54","54","0.20219102613145976","0.2002247073667987","0.20351319578582855"
"28","56","56","56","0.20128917848776","0.19843077730953787","0.2052669483104946"
"29","58","58","58","0.20344524154189134","0.19816758007917348","0.20915208570676058"
"30","60","60","60","0.1971394037045676","0.1954809518823298","0.2007333144956193"
"31","62","62","62","0.19925676922656496","0.1957099163554326","0.2012399515486605"
"32","64","64","64","0.19550266444931474","0.19090281131290068","0.19866526011373958"
"33","66","66","66","0.19592506331952003","0.19227178112830737","0.20207574706121692"
"34","68","68","68","0.19421059790289585","0.19083758627731207","0.19778365798862985"
"35","70","70","70","0.18784767460526455","0.1846603793422893","0.1904359159179024"
"36","72","72","72","0.18999153146885703","0.1881630988881367","0.1936851623879738"
"37","74","74","74","0.18727530417995986","0.18637999288413581","0.1896127877109587"
"38","76","76","76","0.18610613982879592","0.18205896393270335","0.19083914467028348"
"39","78","78","78","0.1830133588405024","0.18069014995216845","0.18519193703387912"
"40","80","80","80","0.18351679000615112","0.1798735518019138","0.18578754258094124"
"41","82","82","82","0.18405332067363794","0.18250125890587862","0.1871302579237551"
"42","84","84","84","0.18072176838597415","0.1785844471784768","0.18203279590486277"
"43","86","86","86","0.17819613351181637","0.1762271431238395","0.1804590373048707"
"44","88","88","88","0.17836796903386448","0.17524862796066729","0.18354743757053862"
"45","90","90","90","0.17642521579593862","0.17550862077130466","0.1783191057962273"
"46","92","92","92","0.1754530184028471","0.17249874568698198","0.1790865539361537"
"47","94","94","94","0.17643209954435748","0.1753101416941538","0.17911165450581046"
"48","96","96","96","0.17606471201943713","0.17167059719984454","0.17951531533294732"
"49","98","98","98","0.17182733708891323","0.16895603741126544","0.17349147377370108"
"50","100","100","100","0.17256942505879866","0.17003345732866718","0.17569842914074157"
"51","102","102","102","0.17083868715532785","0.1682384137999515","0.17297275254666525"
"52","104","104","104","0.17019883697373542","0.16748844070806052","0.17591365026811986"
"53","106","106","106","0.17063777121353504","0.16696235581653954","0.17308244351119312"
"54","108","108","108","0.1681939355049618","0.1663424807222853","0.16900333066872014"
"55","110","110","110","0.1682405599798936","0.1648037989393039","0.17121662648223554"
"56","112","112","112","0.1667463000084409","0.1646042104689523","0.1692981680470701"
"57","114","114","114","0.16608012344596154","0.16449216808811473","0.16804185556898488"
"58","116","116","116","0.16582145687897457","0.16120486310288645","0.1712540590839498"
"59","118","118","118","0.16504775314754455","0.16158473445129254","0.16805347336615217"
"60","120","120","120","0.16402670708681819","0.16260960283118825","0.16461296634779007"
"61","122","122","122","0.16233601068094766","0.15912284382205194","0.164528087243148"
"62","124","124","124","0.1622971081953164","0.15898484157190387","0.16534004882854106"
"63","126","126","126","0.16221329604795248","0.16042930636493788","0.1660814119989793"
"64","128","128","128","0.16188462248366048","0.1596216105071097","0.1638406699397575"
"65","130","130","130","0.1631004968409076","0.15822831868781845","0.16615859179008444"
"66","132","132","132","0.1619261246595793","0.15922091212873282","0.16358320413099645"
"67","134","134","134","0.16139779274126545","0.15932505217774193","0.1638398092968706"
"68","136","136","136","0.16033202366848429","0.1584265147859079","0.1629373858920264"
"69","138","138","138","0.16061975178034654","0.1592955252526336","0.1622116145463569"
"70","140","140","140","0.15964423591133786","0.1572733609918037","0.16190135965018507"
"71","142","142","142","0.1593264822751012","0.15721654576422012","0.16247243730624147"
"72","144","144","144","0.15925390145268842","0.15681352733348328","0.16137490135144192"
"73","146","146","146","0.15775753891314004","0.15614800028204348","0.1591443028531523"
"74","148","148","148","0.15810803401188675","0.15477734508767158","0.16115565661400283"
"75","150","150","150","0.1572179437031021","0.15445326402073148","0.15842536070896743"
"76","152","152","152","0.15786360811201602","0.15655257776772005","0.15887568047600753"
"77","154","154","154","0.15669205166506453","0.15512619955232762","0.15899022185811754"
"78","156","156","156","0.1569301931780661","0.15506784852622074","0.15825366786933132"
"79","158","158","158","0.15591002284906497","0.1556198462184744","0.15627169517780004"
"80","160","160","160","0.1571704829073548","0.1553005840614442","0.15953285843285686"
"81","162","162","162","0.15695776960838864","0.1541103288962475","0.16025218912178082"
"82","164","164","164","0.15834984019634737","0.15579475530972095","0.164184589416476"
"83","166","166","166","0.15725072618728653","0.15346555207874826","0.16165682735561748"
"84","168","168","168","0.15688160915631955","0.15272338325898774","0.15866662262345893"
"85","170","170","170","0.15445853087920558","0.1521018739218339","0.15703906602636217"
"86","172","172","172","0.15375144361516807","0.15247644797423085","0.1558454596758373"
"87","174","174","174","0.1548876020298023","0.15245834027542005","0.1581732866414728"
"88","176","176","176","0.15430696497463142","0.15251469140618895","0.15535524151734179"
"89","178","178","178","0.15402625291378752","0.15172670853330789","0.1558693431080333"
"90","180","180","180","0.1534517362222318","0.15089670840406824","0.15670500815496322"
"91","182","182","182","0.15497998243898511","0.15377467713651186","0.15698152776029045"
"92","184","184","184","0.15428964244402793","0.15349352984680012","0.15570617623518415"
"93","186","186","186","0.15271122221938066","0.151209939500853","0.1548119264521914"
"94","188","188","188","0.15413115335662791","0.15321762887527313","0.15587948243796687"
"95","190","190","190","0.15404611631314297","0.15111889653747954","0.15668257187209586"
"96","192","192","192","0.15325521973598907","0.15127118400041853","0.15557049850464497"
"97","194","194","194","0.15402830569073644","0.1532486842680384","0.15474811123318716"
"98","196","196","196","0.1543920130614772","0.1531919686452193","0.15658432116236445"
"99","198","198","198","0.15346714443736328","0.15206869483252003","0.15558037768487995"
"100","200","200","200","0.15275243534427715","0.15081146157060418","0.1551016612288914"
"101","202","202","202","0.15228908486368947","0.15073725054151849","0.15384849228388378"
"102","204","204","204","0.1528195828850362","0.15104115810527324","0.1551216378524314"
"103","206","206","206","0.15352936320780614","0.15185951199051692","0.15578500710506468"
"104","208","208","208","0.15196974960029436","0.1495087948630148","0.15316634427427694"
"105","210","210","210","0.1516989356867801","0.14980782935768988","0.15440983348646514"
"106","212","212","212","0.15331606797350683","0.1516775518238641","0.15557230929861526"
"107","214","214","214","0.15261332618519835","0.15107431532609805","0.15439386899054666"
"108","216","216","216","0.15217750356284349","0.15050769057890542","0.15379261947497674"
"109","218","218","218","0.15150446061315323","0.14972065024283768","0.15427638148741252"
"110","220","220","220","0.15104482219769075","0.14844549537524723","0.1528585733713689"
"111","222","222","222","0.15301435342960298","0.15049197632162525","0.15645734425988453"
"112","224","224","224","0.15375559640002917","0.15160194839669083","0.1564783961476048"
"113","226","226","226","0.15117424291096865","0.14881392939033092","0.1544614846535551"
"114","228","228","228","0.1503973542917562","0.14761318467242185","0.15357411239427785"
"115","230","230","230","0.15087988280665252","0.14793358553418226","0.1542840537486468"
"116","232","232","232","0.1514779189971685","0.1481946144099757","0.15342977597399268"
"117","234","234","234","0.15069506974735888","0.14900878679992538","0.15178672249033687"
"118","236","236","236","0.15046103491718352","0.1499412317813206","0.15114271757102346"
"119","238","238","238","0.1503457943698896","0.148549531102375","0.1523443112372688"
"120","240","240","240","0.15179397455534632","0.14928253903539307","0.15361294149169571"
"121","242","242","242","0.15073666398028185","0.14769819828936345","0.15473285568723094"
"122","244","244","244","0.15171476057730265","0.149289417547969","0.15354183678331365"
"123","246","246","246","0.14819688087059818","0.14625564492193094","0.1517961448375947"
"124","248","248","248","0.1505102291912001","0.146229395218564","0.15423928305932785"
"125","250","250","250","0.1491543337840651","0.14656021060236826","0.15517267180763136"
"126","252","252","252","0.15067643935996453","0.14881693998538464","0.1523903729029442"
"127","254","254","254","0.15020975384567792","0.147561393373824","0.15209531037557278"
"128","256","256","256","0.14948467771265914","0.14774956391725874","0.1516203294938328"
"129","258","258","258","0.15086727729602675","0.1494947562822461","0.15296395686263298"
"130","260","260","260","0.1502858255249815","0.14884688418939002","0.15134205083165503"
"131","262","262","262","0.15119567650078394","0.14816371389102295","0.15508744991459011"
"132","264","264","264","0.15025905793577704","0.14733762278105247","0.15250343641709427"
"133","266","266","266","0.1485763090966285","0.14759127560445728","0.1499950375050714"
"134","268","268","268","0.15078442767280703","0.1478624124660291","0.15289255025162385"
"135","270","270","270","0.14844499720329435","0.1462569571199429","0.1509106572618966"
"136","272","272","272","0.14893964600652213","0.1465221517537484","0.15215571244339232"
"137","274","274","274","0.1493538290144779","0.14859531002198964","0.14997183970313335"
"138","276","276","276","0.14758279105173358","0.14651342710899934","0.1493685699617975"
"139","278","278","278","0.1497550694921866","0.14655090623039266","0.15371351438635505"
"140","280","280","280","0.15132409244289216","0.14786022005457683","0.1546584720391467"
"141","282","282","282","0.15060825707017064","0.148439303581946","0.15321221807105517"
"142","284","284","284","0.15070858913276503","0.14980951312621418","0.15182856306990317"
"143","286","286","286","0.14962896552744492","0.14698850157570686","0.15280344287724743"
"144","288","288","288","0.15166292728054304","0.14941866197092762","0.1556243592125935"
"145","290","290","290","0.14858903207357793","0.14733657789908008","0.14969265915760352"
"146","292","292","292","0.14993511243267693","0.14711783336852208","0.15381377789721062"
"147","294","294","294","0.14908125459442859","0.1468562840150494","0.15107674038526753"
"148","296","296","296","0.14900771923818407","0.14732749749430982","0.1512647861138671"
"149","298","298","298","0.14747360454464548","0.14578265601419746","0.14844717115821954"
"150","300","300","300","0.14785702776338833","0.14699491168040735","0.14908740360969847"
"151","302","302","302","0.15056645719487233","0.1481546305587642","0.152343790252722"
"152","304","304","304","0.14873411951408289","0.14476366559173579","0.15047041220459054"
"153","306","306","306","0.1480734036708904","0.14404287404765137","0.15036993176146582"
"154","308","308","308","0.1489871527967303","0.14676168258706626","0.150713336495737"
"155","310","310","310","0.14735582453165524","0.14440684276686502","0.1508742777313517"
"156","312","312","312","0.14754988493047852","0.14471271467006647","0.14974649473958798"
"157","314","314","314","0.1481864282498224","0.14473962983718872","0.15308800471949527"
"158","316","316","316","0.14747662401669318","0.14581874609447584","0.14890543790917762"
"159","318","318","318","0.1482357757418128","0.14563811746573357","0.15193264480826707"
"160","320","320","320","0.1491382287492044","0.14664628653658981","0.15220336207249677"
"161","322","322","322","0.14956229500223772","0.1462275862253471","0.15297236607128634"
"162","324","324","324","0.14911279815009332","0.14601213801177526","0.15195843391933184"
