"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"0","0","0","0","0.4263282244263995","0.42249995382430683","0.42980448439552277"
"1","2","2","2","0.37320652470010296","0.3672198149652467","0.3822710619951016"
"2","4","4","4","0.34852942579616564","0.33876088548861344","0.3597194616589427"
"3","6","6","6","0.3250153739402214","0.3144267492914216","0.33959207375203393"
"4","8","8","8","0.3104466355536236","0.30507707345672824","0.32160336713210136"
"5","10","10","10","0.2919013025677406","0.28627021044821155","0.2956163108312234"
"6","12","12","12","0.28613572810451937","0.272619890602076","0.29560049426525525"
"7","14","14","14","0.2717800180550868","0.26893524703271854","0.2796228720220466"
"8","16","16","16","0.2661581314116762","0.2612833904951704","0.27248952091938505"
"9","18","18","18","0.25533375788401275","0.2518585241948071","0.25774897846682027"
"10","20","20","20","0.24940323217805876","0.24841520201463815","0.2510975224997888"
"11","22","22","22","0.24505304324723487","0.24326858452036054","0.24740236506139696"
"12","24","24","24","0.2439111515011251","0.2400320203875259","0.25294765215759385"
"13","26","26","26","0.23526051906525097","0.22977173819774863","0.24212851059218338"
"14","28","28","28","0.2277788965144552","0.2255115101502811","0.22916753576607954"
"15","30","30","30","0.2267321668059937","0.22300483988823408","0.2309043244057047"
"16","32","32","32","0.2177831278800646","0.21221311983782656","0.22023792581538337"
"17","34","34","34","0.2168612111140765","0.21500639681322084","0.21867806521115846"
"18","36","36","36","0.2144961193965485","0.21170868551423963","0.21743509698685384"
"19","38","38","38","0.21219652797681926","0.20892799895326197","0.21378937185591212"
"20","40","40","40","0.20966645494343544","0.20456332824506668","0.21600518301909966"
"21","42","42","42","0.2023810247119488","0.19764938337753682","0.20541431695585574"
"22","44","44","44","0.20210004791410047","0.19923907763423643","0.20576522367637687"
"23","46","46","46","0.19797571340876025","0.1966163203936499","0.19907519344262956"
"24","48","48","48","0.19592113432803387","0.19445815850605433","0.19826388484454094"
"25","50","50","50","0.19408420771876744","0.19108531941024143","0.1978305361765689"
"26","52","52","52","0.19196877127780437","0.19027488854837574","0.1933602662389847"
"27","54","54","54","0.19025788494331183","0.18833481974218502","0.1919030390954975"
"28","56","56","56","0.18733253230184313","0.18542443591707308","0.19022252403929354"
"29","58","58","58","0.1866857957117327","0.181425939501211","0.19076682161324704"
"30","60","60","60","0.18252345786980123","0.18030512816563704","0.18483165255285086"
"31","62","62","62","0.18373544435926964","0.18079001339818299","0.18652162180924942"
"32","64","64","64","0.1824161089083138","0.17775338754164535","0.18609230740210655"
"33","66","66","66","0.1816063042794798","0.18060147354567532","0.18294361066563966"
"34","68","68","68","0.17880986408622962","0.1754558285245769","0.18305100798493143"
"35","70","70","70","0.17530832528805823","0.1738960815243583","0.1769721841024547"
"36","72","72","72","0.17642577932976533","0.1743684996726191","0.17852813600677758"
"37","74","74","74","0.17426023506629368","0.1718738038084977","0.17812046547801158"
"38","76","76","76","0.17264091888360072","0.16960101222861512","0.17521542531603948"
"39","78","78","78","0.171780972261195","0.17055191755255342","0.1733677947723274"
"40","80","80","80","0.17150388577463016","0.16857839391879326","0.1730005729076702"
"41","82","82","82","0.17054467638192905","0.1671737610635677","0.17481459266536467"
"42","84","84","84","0.16728138438141038","0.16513081108698527","0.1693833236758884"
"43","86","86","86","0.16783288261729226","0.16503795038169813","0.17043909440863964"
"44","88","88","88","0.16721310020249597","0.1659682689183136","0.16844741523177292"
"45","90","90","90","0.16664921818053874","0.16577250811838268","0.1678982955448606"
"46","92","92","92","0.16605268529117884","0.1629226376243552","0.16784939624710873"
"47","94","94","94","0.16584487610779075","0.16370012499492723","0.16939687676642054"
"48","96","96","96","0.16510755733935564","0.16257026791784807","0.16636599568651234"
"49","98","98","98","0.16271757268615736","0.16001209710878705","0.1662765431364155"
"50","100","100","100","0.16372948532748147","0.16063978887909286","0.1679729623927256"
"51","102","102","102","0.16226298226671737","0.16037923205957424","0.16463906890918986"
"52","104","104","104","0.16229241233564456","0.16030667778662397","0.1653279366949146"
"53","106","106","106","0.16063533352387033","0.15571173000631974","0.16384132406960428"
"54","108","108","108","0.16076096513611646","0.1566053706608036","0.1632085555962171"
"55","110","110","110","0.15970964699358747","0.15720856287794824","0.1618438030004827"
"56","112","112","112","0.15979871251113792","0.15776577454147248","0.16108427013003057"
"57","114","114","114","0.1585756105453946","0.15382592527809785","0.16061191461374597"
"58","116","116","116","0.1600748886166103","0.1576413891353876","0.16258970698276615"
"59","118","118","118","0.15772678713491983","0.1550339742372407","0.15939669944163493"
"60","120","120","120","0.15690738865041795","0.15588595989469964","0.15741364358292464"
"61","122","122","122","0.15714976932688057","0.15478387919606862","0.15885313119819733"
"62","124","124","124","0.15644097067408086","0.1533568818136955","0.1576835722460656"
"63","126","126","126","0.1549199979541543","0.15348785655918118","0.15584290366233902"
"64","128","128","128","0.15495613695547622","0.15264856213393946","0.1568937596338071"
"65","130","130","130","0.15555883456164665","0.15373584317906952","0.15887832790405845"
"66","132","132","132","0.1556340459339691","0.15435656163275666","0.1565874802192256"
"67","134","134","134","0.15604188279266684","0.15275160692861894","0.1574267634951693"
"68","136","136","136","0.15476813823868907","0.15353343249557805","0.1562736897610857"
