"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - ci_val","Name: hopfield_mol - ci_val__MIN","Name: hopfield_mol - ci_val__MAX"
"0","0","0","0","0.7042910151402388","0.7003346323637515","0.7084670949753222"
"1","2","2","2","0.7297230600041968","0.7191172202281265","0.7391503270903357"
"2","4","4","4","0.7444789077244233","0.7399259759072612","0.7491314253150586"
"3","6","6","6","0.7536363775013876","0.7475603734424747","0.7594107279829351"
"4","8","8","8","0.7578593207978562","0.7523857586398546","0.7633095322099693"
"5","10","10","10","0.7637180535371454","0.7570477250511084","0.7719011620208844"
"6","12","12","12","0.7663721305071605","0.7607217595579185","0.7703833435724524"
"7","14","14","14","0.7722248152674931","0.7669997554353197","0.7748522572657924"
"8","16","16","16","0.77536705053418","0.7734999822214145","0.7782124810557544"
"9","18","18","18","0.781492320216281","0.7780997245638958","0.7845325534790181"
"10","20","20","20","0.7829728007180367","0.7793169672053046","0.7850210187047527"
"11","22","22","22","0.785403461895404","0.7835584649543086","0.7873272274314298"
"12","24","24","24","0.7877688963646043","0.7822602424139312","0.7904543089814349"
"13","26","26","26","0.7905251545276626","0.7845185504593266","0.7979776260448402"
"14","28","28","28","0.7942881727761094","0.7925248251702325","0.7969546770357961"
"15","30","30","30","0.7937234667711632","0.7909621042080914","0.797106594645649"
"16","32","32","32","0.7984059239012375","0.794431804408799","0.8012287573862371"
"17","34","34","34","0.8001070012448936","0.7980732898238426","0.8021290176855062"
"18","36","36","36","0.8015174746799165","0.7988540897641543","0.8039425011187648"
"19","38","38","38","0.8035155754741922","0.8003404492040072","0.8077694849221057"
"20","40","40","40","0.8052921882441915","0.8028795459906822","0.8094279541606627"
"21","42","42","42","0.8071653228021998","0.8058402737168637","0.810041809840845"
"22","44","44","44","0.808005224415837","0.8066301451542143","0.8103498556256886"
"23","46","46","46","0.8083549648625882","0.806610826437609","0.8117340484682566"
"24","48","48","48","0.8086235457076081","0.8071676568150704","0.809481655270544"
"25","50","50","50","0.8129062034725834","0.808956578148146","0.8165540124848765"
"26","52","52","52","0.8148703811644582","0.8122665091390975","0.81804712817991"
"27","54","54","54","0.8149246336654323","0.8112928026235979","0.8183506225861603"
"28","56","56","56","0.8183075420926402","0.812382564297945","0.8250987875000964"
"29","58","58","58","0.818883003006872","0.814407673939869","0.8222160909365305"
"30","60","60","60","0.82098000118143","0.8200302756821142","0.822013982196066"
"31","62","62","62","0.8212269017152515","0.8180318686053638","0.8232948884664364"
"32","64","64","64","0.823286978775195","0.8182276300429762","0.8285827528864355"
"33","66","66","66","0.823758526144241","0.821004710020092","0.8284032727538049"
"34","68","68","68","0.8248450868721733","0.8200710823815804","0.8285696812740141"
"35","70","70","70","0.8262443717424771","0.8241588583906243","0.8279026220192366"
"36","72","72","72","0.8287354596137488","0.8249428513487761","0.8332809698239859"
"37","74","74","74","0.8269829613828609","0.8232537074816093","0.8297857301649996"
"38","76","76","76","0.8298830542828479","0.8259562571668035","0.8346944095091768"
