"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - ci_val","Name: hopfield_prot - ci_val__MIN","Name: hopfield_prot - ci_val__MAX"
"0","0","0","0","0.7056492771909529","0.7007607239087259","0.7152002811273517"
"1","2","2","2","0.7308552729373977","0.7240447885828426","0.7349518275239952"
"2","4","4","4","0.7491875960255168","0.7436843790855059","0.7538082607223853"
"3","6","6","6","0.7578326107108984","0.7552088097870755","0.7614775346852858"
"4","8","8","8","0.7631452358572449","0.7575515363677419","0.7686092505000034"
"5","10","10","10","0.7660044986065462","0.7589326626081172","0.7717370317403385"
"6","12","12","12","0.7672696875098883","0.7656383920170459","0.7693239496197687"
"7","14","14","14","0.7731079948976856","0.7691843143102988","0.7776938546000856"
"8","16","16","16","0.778175088900629","0.7745821306258512","0.7815887351961475"
"9","18","18","18","0.7821151156332382","0.7791368776129739","0.7852736569673144"
"10","20","20","20","0.7838970138579759","0.782185723605033","0.7870364756541561"
"11","22","22","22","0.786437670562918","0.7826224376117283","0.790646695301297"
"12","24","24","24","0.7888821918307692","0.7865468565483963","0.792369292352129"
"13","26","26","26","0.79125864278652","0.7888965904192324","0.7928017057986231"
"14","28","28","28","0.7946481258138987","0.7917261263245517","0.7975744000727191"
"15","30","30","30","0.7947405506670523","0.7931899616737714","0.7965636786143216"
"16","32","32","32","0.7973565945394314","0.7950802378955419","0.8007021875618424"
"17","34","34","34","0.7991267738087984","0.7968922124698534","0.800291207742802"
"18","36","36","36","0.800083570866051","0.7980901094004043","0.8024295370222306"
"19","38","38","38","0.8039748132764218","0.8004134081137962","0.8074623265232416"
"20","40","40","40","0.8037518296246355","0.8010021401011794","0.8059319253425776"
"21","42","42","42","0.8062860120797165","0.8017548186864117","0.8104107977193743"
"22","44","44","44","0.8071602714187327","0.8031478410420759","0.8108947284209915"
"23","46","46","46","0.8097284782077028","0.8075408211995151","0.8123690574465601"
"24","48","48","48","0.810498195878816","0.8062218250387757","0.8147045538277993"
"25","50","50","50","0.8118960286349454","0.8080559506338136","0.8140033556844634"
"26","52","52","52","0.815172249234869","0.8078882310469628","0.8196768865719669"
"27","54","54","54","0.8147302980525254","0.8089127063178143","0.8184823311595081"
"28","56","56","56","0.8166073060076154","0.8138112834865396","0.8185099459065713"
"29","58","58","58","0.8181912146655492","0.8152708184997853","0.8227481427210118"
"30","60","60","60","0.819535499081297","0.8161804461307628","0.8223103089642828"
"31","62","62","62","0.820224155921289","0.8153611900417936","0.8246042635394097"
"32","64","64","64","0.8229273195660122","0.8216485147442462","0.8254526704209412"
"33","66","66","66","0.8241212630335948","0.821567315160772","0.8254935272073033"
"34","68","68","68","0.8263654380808729","0.8252284209608799","0.8283368115279918"
"35","70","70","70","0.8276421171279669","0.8241892851702252","0.8336755474762675"
"36","72","72","72","0.8291175685116858","0.8270265999006327","0.8332567099364125"
"37","74","74","74","0.8293248288880672","0.8267210380190815","0.8321306112540902"
"38","76","76","76","0.8296748092382243","0.8274160024154942","0.8328446282910643"
"39","78","78","78","0.8324607822471999","0.828594147100859","0.8385231031071142"
"40","80","80","80","0.8349261576025901","0.8325217901621277","0.8408727343504824"
"41","82","82","82","0.8366405322213636","0.8316117849920776","0.8396158793406971"
"42","84","84","84","0.8367897894134277","0.8346770551460321","0.8387701069679437"
"43","86","86","86","0.8369753881363005","0.834888725999824","0.8395915634514604"
"44","88","88","88","0.8406055653752509","0.8371881135162866","0.8435280079559905"
"45","90","90","90","0.8417609113075027","0.8386135265625432","0.8466239721249933"
"46","92","92","92","0.8417115213093231","0.8355065814198072","0.8444871881157056"
"47","94","94","94","0.8430679337364818","0.8362489049890264","0.8475841789429284"
"48","96","96","96","0.8451127152397545","0.8412096084611574","0.8473547930678013"
"49","98","98","98","0.8469499336342479","0.8444350049151256","0.8484483637135521"
"50","100","100","100","0.8476529101696363","0.8452400610532472","0.8513338289215402"
"51","102","102","102","0.8484681203993567","0.8460810500381168","0.85119161239774"
"52","104","104","104","0.8490470825500644","0.8470092233234073","0.851286771045149"
"53","106","106","106","0.8484515370035917","0.8465788735230215","0.8499022925700596"
"54","108","108","108","0.8496062008055427","0.8477724799458631","0.8517488534542575"
"55","110","110","110","0.8495445690729551","0.8448124997835477","0.8537007991111164"
"56","112","112","112","0.8516311916483528","0.8499974034869929","0.8526675303922391"
"57","114","114","114","0.8510897983865281","0.8491862581347405","0.8531313017952228"
"58","116","116","116","0.8525708530491943","0.8498143880837065","0.8546637750808164"
"59","118","118","118","0.8529871304185035","0.8502815913270252","0.8548999478214495"
"60","120","120","120","0.8540849558738973","0.8503924173954803","0.8583815274720372"
"61","122","122","122","0.8540915640798985","0.8500093242119535","0.8560305454445113"
"62","124","124","124","0.855289886833026","0.8538277511117912","0.8572347293687662"
"63","126","126","126","0.856918019278298","0.8506868580462784","0.8623077557211051"
"64","128","128","128","0.8566064764583032","0.8536935569178277","0.8597978643714816"
"65","130","130","130","0.8569185324937436","0.8558089552160619","0.8585160161823444"
"66","132","132","132","0.8586151566261974","0.8571101758960151","0.8609570883342976"
"67","134","134","134","0.8583645080235772","0.8570327265327807","0.8601396918971691"
"68","136","136","136","0.8581875805303832","0.8562342411356512","0.8606326453072584"
"69","138","138","138","0.8584821835762874","0.8571635395469284","0.8604412019815315"
"70","140","140","140","0.8591061541166655","0.8572885181010937","0.8601628470765891"
"71","142","142","142","0.8598900757217252","0.8569134215075427","0.8614635376972479"
"72","144","144","144","0.8595983215864067","0.8564029653700079","0.8613368927504335"
"73","146","146","146","0.859686528543069","0.8565174051575976","0.8625560071396272"
"74","148","148","148","0.8592059989923776","0.8561300581341906","0.8617461268179584"
"75","150","150","150","0.8595287634138306","0.8569669536867819","0.8613725953096761"
"76","152","152","152","0.8612795843420773","0.8594054723746317","0.8630982978515396"
"77","154","154","154","0.8607478549206917","0.8601159944948111","0.8610969987711679"
"78","156","156","156","0.8621301101608262","0.8607745181940282","0.8633727741661508"
"79","158","158","158","0.860769391324065","0.855900607436352","0.8634001889204811"
"80","160","160","160","0.8603388104202729","0.8569604127307413","0.8627573686098846"
"81","162","162","162","0.8614267638869247","0.8586157420734607","0.8632638050288615"
"82","164","164","164","0.8608823460573941","0.8558055544918352","0.8627239960242148"
