"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"0","0","0","0","0.41457284953131446","0.41221977913664615","0.416940134346211"
"1","2","2","2","0.3657941559748743","0.36056214589039315","0.37323079341475374"
"2","4","4","4","0.3448749954510659","0.33736217262113866","0.35471758903104295"
"3","6","6","6","0.3240834326356906","0.31671154622060366","0.33166095012330105"
"4","8","8","8","0.31260130264251995","0.30815475680912424","0.3162667035961495"
"5","10","10","10","0.2958522710544511","0.2901909698535235","0.302123063215202"
"6","12","12","12","0.2893506602442905","0.2772238770432156","0.299367767029698"
"7","14","14","14","0.27717931265011797","0.2726110816335717","0.2851217161616557"
"8","16","16","16","0.2727289782130534","0.2672195641634476","0.2780747591553118"
"9","18","18","18","0.2621081765191816","0.2584219599789939","0.2671111017155685"
"10","20","20","20","0.2571095989280758","0.25137050609185324","0.26374035927756007"
"11","22","22","22","0.25241551257647743","0.24813864170169372","0.25752246772557796"
"12","24","24","24","0.2522066191187477","0.2440132472088363","0.261006616130687"
"13","26","26","26","0.24256173210446877","0.23376388537863393","0.24975642862914427"
"14","28","28","28","0.2353152673484405","0.23090277394772626","0.24321956823031898"
"15","30","30","30","0.23229959833381314","0.22637915650464402","0.23772109459297083"
"16","32","32","32","0.22524342899323146","0.22319302823219417","0.22766034483846553"
"17","34","34","34","0.22656970529187173","0.21855287021914854","0.23683698504328005"
"18","36","36","36","0.22164920159319634","0.21785449689113298","0.22576393864402858"
"19","38","38","38","0.21679732844802496","0.2126712056828879","0.22172914080619727"
"20","40","40","40","0.21535165219953245","0.21251520513994857","0.2223625512172582"
"21","42","42","42","0.21090199444953078","0.20642768065048608","0.21931566194846072"
"22","44","44","44","0.20804561906059518","0.2037329749026492","0.21183104687236168"
"23","46","46","46","0.20556317949948028","0.20193523493758564","0.2076063832944655"
"24","48","48","48","0.20303711495342763","0.20024096794363375","0.20515640543566888"
"25","50","50","50","0.20098832737135813","0.19514890023479362","0.2048732461314321"
"26","52","52","52","0.199258288180354","0.1953801498096178","0.20301670912995254"
"27","54","54","54","0.195057114864293","0.19327814751860412","0.19835789860776293"
"28","56","56","56","0.1912719221861832","0.1882621206495466","0.19609036605123176"
"29","58","58","58","0.19177985222454902","0.18937447285997763","0.19459209271057906"
"30","60","60","60","0.1895253404894623","0.18768552754899095","0.19434940566336087"
"31","62","62","62","0.18871113654203997","0.18743824297003658","0.19280879351053143"
"32","64","64","64","0.18839502968373817","0.1840906464381481","0.19207859170346459"
"33","66","66","66","0.18817806216157124","0.18313801444199743","0.19059177357328536"
"34","68","68","68","0.18447433795947765","0.1802011293127751","0.1894397847792267"
"35","70","70","70","0.1799297782392066","0.17722643729254456","0.18156940426421603"
"36","72","72","72","0.18126601448666269","0.1769856719623009","0.18520162091126266"
"37","74","74","74","0.1793368313211753","0.17593230455352477","0.18230280151283298"
"38","76","76","76","0.1805723479879227","0.1765802076766205","0.18334369449579432"
